Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff
CLE,1,1,90,95,0,20141030,NYK,0.521,0.19399999999999998,0.297,0.243,83.1,108.3,114.3
CLE,0,2,114,108,1,20141031,CHI,0.409,0.071,0.392,0.279,91.5,112.8,106.9
CLE,0,3,82,101,0,20141104,POR,0.418,0.133,0.25,0.129,88.1,93.0,114.6
CLE,0,4,100,102,0,20141105,UTA,0.458,0.11800000000000001,0.2,0.472,87.1,114.9,117.2
CLE,0,5,110,101,1,20141107,DEN,0.512,0.075,0.15,0.286,96.7,113.8,104.5
CLE,1,6,118,111,1,20141110,NOP,0.574,0.087,0.316,0.309,88.8,132.9,125.0
CLE,0,7,122,121,1,20141114,BOS,0.553,0.098,0.205,0.329,102.1,119.5,118.5
CLE,1,8,127,94,1,20141115,ATL,0.65,0.12,0.316,0.111,97.4,130.4,96.5
CLE,1,9,97,106,0,20141117,DEN,0.494,0.14400000000000002,0.231,0.241,94.0,103.2,112.8
CLE,1,10,90,92,0,20141119,SAS,0.488,0.153,0.23800000000000002,0.108,90.2,99.7,101.9
CLE,0,11,78,91,0,20141121,WAS,0.4,0.182,0.205,0.24,93.2,83.7,97.7
CLE,1,12,93,110,0,20141122,TOR,0.451,0.161,0.297,0.247,95.6,97.3,115.1
CLE,1,13,106,74,1,20141124,ORL,0.556,0.11699999999999999,0.308,0.198,88.1,120.3,84.0
CLE,1,14,113,87,1,20141126,WAS,0.554,0.09,0.26899999999999996,0.419,88.4,127.9,98.5
CLE,1,15,109,97,1,20141129,IND,0.571,0.08900000000000001,0.214,0.256,90.2,120.9,107.5
CLE,1,16,111,108,1,20141202,MIL,0.575,0.175,0.2,0.37,98.4,112.9,109.8
CLE,0,17,90,87,1,20141204,NYK,0.493,0.17300000000000001,0.16699999999999998,0.3,90.5,99.5,96.2
CLE,0,18,105,91,1,20141205,TOR,0.542,0.122,0.366,0.167,88.7,118.4,102.6
CLE,0,19,110,88,1,20141208,BRK,0.528,0.115,0.465,0.167,89.2,123.4,98.7
CLE,1,20,105,101,1,20141209,TOR,0.551,0.111,0.34299999999999997,0.228,84.1,124.9,120.1
CLE,0,21,94,103,0,20141211,OKC,0.418,0.125,0.3,0.271,93.7,100.3,109.9
CLE,0,22,114,119,0,20141212,NOP,0.539,0.057,0.25,0.202,90.9,125.5,131.0
CLE,1,23,97,88,1,20141215,CHO,0.512,0.1,0.2,0.145,91.4,106.2,96.3
CLE,1,24,98,127,0,20141217,ATL,0.5,0.081,0.22699999999999998,0.195,86.4,113.4,146.9
CLE,1,25,95,91,1,20141219,BRK,0.461,0.151,0.25,0.312,93.2,102.0,97.7
CLE,1,26,105,91,1,20141221,MEM,0.651,0.14800000000000002,0.133,0.079,88.0,119.3,103.4
CLE,1,27,125,104,1,20141223,MIN,0.595,0.14800000000000002,0.33299999999999996,0.298,98.4,127.1,105.7
CLE,0,28,91,101,0,20141225,MIA,0.486,0.14800000000000002,0.262,0.292,88.0,103.5,114.8
CLE,0,29,98,89,1,20141226,ORL,0.463,0.09,0.205,0.3,88.5,110.7,100.5
CLE,1,30,80,103,0,20141228,DET,0.409,0.16,0.233,0.159,91.4,87.6,112.7
CLE,0,31,101,109,0,20141230,ATL,0.518,0.162,0.22899999999999998,0.167,97.8,103.3,111.5
CLE,1,32,80,96,0,20141231,MIL,0.388,0.115,0.24100000000000002,0.165,89.4,89.5,107.4
CLE,0,33,91,87,1,20150102,CHO,0.402,0.065,0.271,0.241,91.7,99.3,94.9
CLE,1,34,90,109,0,20150104,DAL,0.453,0.114,0.273,0.14,88.7,101.4,122.8
CLE,0,35,92,95,0,20150105,PHI,0.453,0.10400000000000001,0.271,0.176,91.2,100.8,104.1
CLE,1,36,93,105,0,20150107,HOU,0.476,0.142,0.295,0.183,89.9,103.4,116.8
CLE,0,37,94,112,0,20150109,GSW,0.448,0.127,0.28600000000000003,0.198,94.5,99.4,118.5
CLE,0,38,84,103,0,20150111,SAC,0.494,0.14400000000000002,0.136,0.09,89.6,93.8,115.0
CLE,0,39,100,107,0,20150113,PHO,0.518,0.17300000000000001,0.39,0.183,88.8,112.6,120.4
CLE,0,40,109,102,1,20150115,LAL,0.532,0.08800000000000001,0.308,0.333,87.4,124.7,116.7
CLE,0,41,126,121,1,20150116,LAC,0.614,0.16399999999999998,0.316,0.289,101.2,124.5,119.5
CLE,1,42,108,94,1,20150119,CHI,0.5,0.106,0.408,0.2,89.2,121.1,105.4
CLE,1,43,106,92,1,20150121,UTA,0.549,0.124,0.366,0.21,89.3,118.6,103.0
CLE,1,44,129,90,1,20150123,CHO,0.601,0.098,0.268,0.247,98.3,131.3,91.6
CLE,1,45,108,98,1,20150125,OKC,0.537,0.10400000000000001,0.256,0.244,94.1,114.8,104.1
CLE,0,46,103,95,1,20150127,DET,0.468,0.08199999999999999,0.271,0.172,93.5,110.2,101.6
CLE,1,47,99,94,1,20150128,POR,0.488,0.079,0.33299999999999996,0.188,82.2,120.4,114.3
CLE,1,48,101,90,1,20150130,SAC,0.544,0.159,0.163,0.175,97.7,103.4,92.1
CLE,0,49,106,90,1,20150131,MIN,0.54,0.12,0.439,0.138,87.7,120.8,102.6
CLE,1,50,97,84,1,20150202,PHI,0.526,0.17,0.297,0.192,91.4,106.1,91.9
CLE,1,51,105,94,1,20150205,LAC,0.486,0.165,0.326,0.486,94.5,111.1,99.4
CLE,0,52,99,103,0,20150206,IND,0.511,0.13699999999999998,0.319,0.09,89.3,110.9,115.4
CLE,1,53,120,105,1,20150208,LAL,0.659,0.134,0.182,0.146,95.5,125.6,109.9
CLE,1,54,113,93,1,20150211,MIA,0.628,0.14800000000000002,0.294,0.192,90.8,124.4,102.4
CLE,0,55,98,113,0,20150212,CHI,0.482,0.145,0.22699999999999998,0.188,96.7,101.3,116.9
CLE,0,56,127,89,1,20150220,WAS,0.589,0.08900000000000001,0.244,0.233,97.6,130.2,91.2
CLE,0,57,101,83,1,20150222,NYK,0.582,0.149,0.184,0.114,91.9,109.9,90.3
CLE,0,58,102,93,1,20150224,DET,0.532,0.138,0.10300000000000001,0.26,95.3,107.0,97.6
CLE,1,59,110,99,1,20150226,GSW,0.526,0.14800000000000002,0.21100000000000002,0.377,98.7,111.4,100.3
CLE,0,60,86,93,0,20150227,IND,0.408,0.133,0.259,0.12,93.3,92.1,99.6
CLE,0,61,103,105,0,20150301,HOU,0.469,0.12300000000000001,0.44,0.112,86.7,107.6,109.7
CLE,1,62,110,79,1,20150303,BOS,0.539,0.10400000000000001,0.27899999999999997,0.157,93.0,118.3,85.0
CLE,0,63,120,112,1,20150304,TOR,0.609,0.08800000000000001,0.25,0.321,88.0,136.3,127.2
CLE,0,64,97,106,0,20150306,ATL,0.514,0.16899999999999998,0.27,0.377,88.9,109.2,119.3
CLE,1,65,89,79,1,20150307,PHO,0.467,0.141,0.28600000000000003,0.253,84.2,105.7,93.8
CLE,0,66,127,94,1,20150310,DAL,0.592,0.107,0.308,0.276,96.1,132.2,97.9
CLE,0,67,128,125,1,20150312,SAS,0.56,0.10300000000000001,0.256,0.286,91.7,126.4,123.5
CLE,0,68,123,108,1,20150315,ORL,0.711,0.159,0.1,0.197,95.3,129.0,113.3
CLE,0,69,92,106,0,20150316,MIA,0.449,0.133,0.152,0.266,94.3,97.6,112.4
CLE,1,70,117,92,1,20150318,BRK,0.64,0.10800000000000001,0.314,0.146,89.3,131.1,103.1
CLE,1,71,95,92,1,20150320,IND,0.482,0.09,0.25,0.195,86.6,109.7,106.2
CLE,0,72,108,90,1,20150322,MIL,0.577,0.125,0.214,0.131,93.1,116.0,96.7
CLE,0,73,111,89,1,20150325,MEM,0.595,0.16699999999999998,0.324,0.131,91.3,121.6,97.5
CLE,0,74,98,106,0,20150327,BRK,0.506,0.151,0.14300000000000002,0.198,97.8,100.2,108.3
CLE,1,75,87,86,1,20150329,PHI,0.441,0.155,0.34600000000000003,0.141,90.1,96.6,95.5
CLE,1,76,114,88,1,20150402,MIA,0.594,0.133,0.263,0.238,91.6,124.5,96.1
CLE,1,77,99,94,1,20150405,CHI,0.518,0.09699999999999999,0.217,0.157,90.3,109.6,104.1
CLE,0,78,104,99,1,20150408,MIL,0.561,0.174,0.306,0.284,91.7,113.5,108.0
CLE,1,79,90,99,0,20150410,BOS,0.474,0.185,0.273,0.221,93.5,96.2,105.8
CLE,0,80,78,117,0,20150412,BOS,0.411,0.21600000000000003,0.256,0.165,95.5,81.7,122.5
CLE,1,81,109,97,1,20150413,DET,0.606,0.1,0.361,0.071,86.0,126.8,112.8
CLE,1,82,113,108,1,20150415,WAS,0.56,0.14,0.239,0.121,91.3,112.1,107.2
BOS,1,1,121,105,1,20141029,BRK,0.602,0.109,0.231,0.17,99.3,121.8,105.7
BOS,0,2,90,104,0,20141101,HOU,0.383,0.086,0.264,0.153,97.6,92.2,106.6
BOS,0,3,113,118,0,20141103,DAL,0.495,0.135,0.431,0.118,98.9,114.3,119.4
BOS,1,4,107,110,0,20141105,TOR,0.577,0.239,0.486,0.218,94.5,113.2,116.3
BOS,1,5,101,98,1,20141107,IND,0.512,0.115,0.243,0.165,90.5,111.7,108.3
BOS,0,6,106,101,1,20141108,CHI,0.562,0.11800000000000001,0.20600000000000002,0.185,93.2,113.7,108.4
BOS,1,7,94,109,0,20141112,OKC,0.5,0.083,0.175,0.133,88.2,106.6,123.6
BOS,1,8,121,122,0,20141114,CLE,0.58,0.125,0.2,0.216,102.1,118.5,119.5
BOS,1,9,114,118,0,20141117,PHO,0.54,0.152,0.256,0.23,107.0,106.6,110.3
BOS,0,10,101,90,1,20141119,PHI,0.53,0.14,0.16699999999999998,0.157,98.7,102.3,91.2
BOS,0,11,100,117,0,20141121,MEM,0.483,0.11,0.18,0.17,99.2,100.8,117.9
BOS,1,12,88,94,0,20141123,POR,0.416,0.07400000000000001,0.21100000000000002,0.095,95.4,92.2,98.5
BOS,1,13,102,109,0,20141128,CHI,0.435,0.11,0.261,0.239,98.9,103.1,110.2
BOS,1,14,89,111,0,20141130,SAS,0.448,0.138,0.255,0.126,94.6,94.0,117.3
BOS,0,15,105,109,0,20141202,ATL,0.56,0.19,0.25,0.131,98.9,106.2,110.2
BOS,1,16,109,102,1,20141203,DET,0.468,0.10300000000000001,0.17,0.237,95.4,103.5,96.8
BOS,1,17,113,96,1,20141205,LAL,0.556,0.138,0.244,0.144,103.5,109.2,92.8
BOS,1,18,101,93,1,20141207,WAS,0.455,0.131,0.2,0.239,102.3,98.7,90.9
BOS,0,19,132,133,0,20141208,WAS,0.505,0.128,0.26899999999999996,0.284,96.9,112.7,113.6
BOS,0,20,87,96,0,20141210,CHO,0.466,0.133,0.14,0.069,97.7,89.1,98.3
BOS,1,21,95,101,0,20141212,NYK,0.476,0.155,0.293,0.165,91.7,103.7,110.2
BOS,0,22,105,87,1,20141215,PHI,0.477,0.17800000000000002,0.33299999999999996,0.267,104.3,100.7,83.4
BOS,1,23,109,92,1,20141217,ORL,0.594,0.13699999999999998,0.212,0.175,92.3,118.1,99.7
BOS,1,24,114,98,1,20141219,MIN,0.612,0.125,0.353,0.118,92.1,123.8,106.4
BOS,0,25,84,100,0,20141221,MIA,0.434,0.14300000000000002,0.304,0.145,88.2,95.3,113.4
BOS,0,26,95,100,0,20141223,ORL,0.429,0.109,0.191,0.259,98.2,96.7,101.8
BOS,1,27,107,109,0,20141226,BRK,0.569,0.132,0.14300000000000002,0.092,97.6,109.6,111.7
BOS,0,28,88,101,0,20141227,WAS,0.443,0.16699999999999998,0.17,0.228,99.2,88.7,101.9
BOS,1,29,106,84,1,20141231,SAC,0.495,0.099,0.205,0.138,100.8,105.2,83.3
BOS,1,30,101,119,0,20150102,DAL,0.494,0.11,0.2,0.146,96.0,105.2,123.9
BOS,0,31,104,109,0,20150103,CHI,0.475,0.16,0.222,0.09,97.8,96.3,101.0
BOS,1,32,95,104,0,20150105,CHO,0.434,0.055999999999999994,0.217,0.176,90.5,105.0,115.0
BOS,0,33,89,81,1,20150107,BRK,0.426,0.059000000000000004,0.22,0.159,88.5,100.5,91.5
BOS,0,34,103,107,0,20150109,IND,0.447,0.083,0.245,0.107,93.3,100.0,103.9
BOS,0,35,96,109,0,20150110,TOR,0.506,0.16399999999999998,0.214,0.145,97.1,98.9,112.3
BOS,1,36,108,100,1,20150112,NOP,0.466,0.098,0.37,0.295,90.8,119.0,110.2
BOS,1,37,91,105,0,20150114,ATL,0.476,0.152,0.31,0.145,88.5,102.8,118.7
BOS,1,38,103,119,0,20150116,CHI,0.524,0.124,0.282,0.165,91.9,112.0,129.4
BOS,0,39,93,102,0,20150119,LAC,0.464,0.122,0.261,0.179,90.3,103.0,113.0
BOS,0,40,90,89,1,20150122,POR,0.489,0.151,0.23800000000000002,0.057,92.3,97.5,96.4
BOS,0,41,100,99,1,20150123,DEN,0.553,0.139,0.205,0.227,92.0,108.7,107.6
BOS,0,42,111,114,0,20150125,GSW,0.484,0.11599999999999999,0.255,0.2,103.4,107.4,110.3
BOS,0,43,99,90,1,20150126,UTA,0.527,0.14300000000000002,0.147,0.284,91.3,108.4,98.5
BOS,0,44,98,110,0,20150128,MIN,0.5,0.12,0.188,0.077,95.8,102.3,114.8
BOS,1,45,87,93,0,20150130,HOU,0.394,0.099,0.26899999999999996,0.178,93.9,92.6,99.0
BOS,1,46,75,83,0,20150201,MIA,0.395,0.128,0.182,0.136,90.6,82.8,91.6
BOS,0,47,108,97,1,20150203,NYK,0.584,0.147,0.324,0.234,88.0,122.7,110.2
BOS,1,48,104,100,1,20150204,DEN,0.465,0.109,0.358,0.121,94.5,110.0,105.8
BOS,1,49,107,96,1,20150206,PHI,0.512,0.09300000000000001,0.25,0.221,96.0,111.4,100.0
BOS,0,50,93,96,0,20150207,MIL,0.459,0.10400000000000001,0.244,0.163,90.1,103.2,106.5
BOS,1,51,89,88,1,20150211,ATL,0.376,0.08900000000000001,0.29100000000000004,0.204,92.6,96.1,95.0
BOS,0,52,101,109,0,20150220,SAC,0.43,0.09,0.322,0.15,98.8,102.3,110.4
BOS,0,53,111,118,0,20150222,LAL,0.469,0.127,0.245,0.194,99.6,101.0,107.3
BOS,0,54,115,110,1,20150223,PHO,0.517,0.128,0.205,0.258,103.9,110.7,105.9
BOS,1,55,115,94,1,20150225,NYK,0.59,0.124,0.2,0.205,96.4,119.3,97.5
BOS,1,56,106,98,1,20150227,CHO,0.49,0.07200000000000001,0.259,0.125,94.9,111.7,103.2
BOS,1,57,101,106,0,20150301,GSW,0.404,0.064,0.344,0.119,96.9,104.2,109.4
BOS,0,58,79,110,0,20150303,CLE,0.392,0.13,0.21600000000000003,0.114,93.0,85.0,118.3
BOS,1,59,85,84,1,20150304,UTA,0.42,0.03,0.231,0.125,84.6,100.5,99.3
BOS,0,60,104,98,1,20150306,NOP,0.519,0.109,0.163,0.278,93.1,111.7,105.3
BOS,0,61,98,103,0,20150308,ORL,0.478,0.127,0.321,0.146,92.6,105.9,111.3
BOS,0,62,100,90,1,20150309,MIA,0.483,0.087,0.37200000000000005,0.184,86.3,115.9,104.3
BOS,1,63,95,92,1,20150311,MEM,0.482,0.147,0.27899999999999997,0.153,92.4,102.8,99.6
BOS,1,64,95,88,1,20150313,ORL,0.488,0.14400000000000002,0.2,0.128,99.6,95.4,88.3
BOS,0,65,93,89,1,20150314,IND,0.47,0.107,0.214,0.181,93.0,100.0,95.7
BOS,1,66,108,89,1,20150316,PHI,0.545,0.10400000000000001,0.139,0.136,98.8,109.3,90.1
BOS,0,67,118,122,0,20150318,OKC,0.601,0.172,0.282,0.202,101.7,116.0,119.9
BOS,0,68,89,101,0,20150320,SAS,0.426,0.134,0.26899999999999996,0.159,95.4,93.3,105.8
BOS,1,69,97,105,0,20150322,DET,0.4,0.10400000000000001,0.28600000000000003,0.124,94.2,93.3,101.0
BOS,0,70,110,91,1,20150323,BRK,0.543,0.084,0.2,0.109,95.6,115.0,95.2
BOS,1,71,86,93,0,20150325,MIA,0.442,0.158,0.25,0.362,91.0,94.5,102.2
BOS,0,72,96,92,1,20150327,NYK,0.449,0.154,0.25,0.493,92.7,103.6,99.3
BOS,1,73,106,119,0,20150329,LAC,0.462,0.08800000000000001,0.184,0.215,100.0,106.0,119.0
BOS,0,74,116,104,1,20150330,CHO,0.556,0.066,0.302,0.191,90.6,128.0,114.8
BOS,1,75,100,87,1,20150401,IND,0.488,0.096,0.184,0.186,93.8,106.6,92.8
BOS,1,76,101,110,0,20150403,MIL,0.489,0.14400000000000002,0.2,0.17,100.4,100.6,109.6
BOS,0,77,117,116,1,20150404,TOR,0.526,0.12300000000000001,0.245,0.155,95.9,110.5,109.5
BOS,0,78,113,103,1,20150408,DET,0.5,0.10400000000000001,0.25,0.413,93.9,120.4,109.7
BOS,0,79,99,90,1,20150410,CLE,0.5,0.131,0.268,0.179,93.5,105.8,96.2
BOS,1,80,117,78,1,20150412,CLE,0.607,0.07,0.154,0.179,95.5,122.5,81.7
BOS,1,81,95,93,1,20150414,TOR,0.414,0.11699999999999999,0.321,0.131,97.8,97.1,95.1
BOS,0,82,105,100,1,20150415,MIL,0.571,0.149,0.2,0.094,96.0,109.4,104.2
WAS,0,1,95,107,0,20141029,MIA,0.52,0.141,0.179,0.227,91.1,104.3,117.5
WAS,0,2,105,98,1,20141030,ORL,0.531,0.11599999999999999,0.16699999999999998,0.25,95.7,109.7,102.4
WAS,1,3,108,97,1,20141101,MIL,0.575,0.17800000000000002,0.188,0.329,98.6,109.5,98.3
WAS,0,4,98,83,1,20141104,NYK,0.538,0.12,0.263,0.15,88.4,110.8,93.9
WAS,1,5,96,94,1,20141105,IND,0.412,0.106,0.14,0.231,92.0,94.5,92.5
WAS,0,6,84,103,0,20141107,TOR,0.38,0.11800000000000001,0.29100000000000004,0.253,93.4,90.0,110.3
WAS,0,7,97,90,1,20141108,IND,0.494,0.133,0.302,0.21,93.5,103.7,96.2
WAS,1,8,107,103,1,20141112,DET,0.5,0.10099999999999999,0.256,0.289,95.3,112.3,108.1
WAS,1,9,98,93,1,20141115,ORL,0.518,0.10800000000000001,0.225,0.131,90.8,107.9,102.4
WAS,1,10,102,105,0,20141119,DAL,0.5,0.122,0.209,0.214,94.3,108.2,111.4
WAS,1,11,91,78,1,20141121,CLE,0.512,0.162,0.23800000000000002,0.06,93.2,97.7,83.7
WAS,0,12,111,100,1,20141122,MIL,0.505,0.12,0.41700000000000004,0.183,95.9,115.7,104.2
WAS,1,13,102,106,0,20141125,ATL,0.482,0.171,0.34,0.25,96.0,106.2,110.4
WAS,0,14,87,113,0,20141126,CLE,0.5,0.182,0.21899999999999997,0.225,88.4,98.5,127.9
WAS,1,15,83,80,1,20141129,NOP,0.493,0.147,0.293,0.105,84.1,98.7,95.1
WAS,1,16,107,86,1,20141201,MIA,0.611,0.127,0.212,0.264,87.1,122.9,98.8
WAS,1,17,111,95,1,20141203,LAL,0.516,0.098,0.261,0.161,97.3,114.1,97.6
WAS,1,18,119,89,1,20141205,DEN,0.571,0.134,0.35,0.259,98.7,120.5,90.1
WAS,0,19,93,101,0,20141207,BOS,0.425,0.157,0.28600000000000003,0.151,102.3,90.9,98.7
WAS,1,20,133,132,1,20141208,BOS,0.559,0.174,0.256,0.298,96.9,113.6,112.7
WAS,0,21,91,89,1,20141210,ORL,0.537,0.096,0.205,0.049,85.4,106.5,104.2
WAS,1,22,104,96,1,20141212,LAC,0.544,0.136,0.265,0.213,91.2,114.0,105.3
WAS,1,23,93,84,1,20141214,UTA,0.512,0.14400000000000002,0.233,0.083,92.5,100.6,90.8
WAS,1,24,109,95,1,20141216,MIN,0.558,0.096,0.25,0.151,92.2,118.2,103.0
WAS,0,25,105,103,1,20141219,MIA,0.513,0.08800000000000001,0.31,0.304,89.4,117.4,115.2
WAS,1,26,92,104,0,20141221,PHO,0.428,0.10300000000000001,0.313,0.253,90.9,101.3,114.5
WAS,1,27,91,99,0,20141223,CHI,0.455,0.077,0.13699999999999998,0.112,95.6,95.2,103.6
WAS,0,28,102,91,1,20141225,NYK,0.552,0.1,0.302,0.081,86.8,117.5,104.9
WAS,1,29,101,88,1,20141227,BOS,0.528,0.16,0.243,0.067,99.2,101.9,88.7
WAS,0,30,104,103,1,20141229,HOU,0.534,0.174,0.188,0.356,96.7,107.6,106.5
WAS,0,31,87,114,0,20141230,DAL,0.473,0.204,0.244,0.23,96.8,89.9,117.7
WAS,0,32,102,109,0,20150102,OKC,0.53,0.142,0.2,0.155,94.6,107.8,115.2
WAS,0,33,92,101,0,20150103,SAS,0.512,0.064,0.237,0.098,83.4,110.3,121.0
WAS,0,34,92,85,1,20150105,NOP,0.494,0.10400000000000001,0.275,0.177,85.6,107.4,99.2
WAS,1,35,101,91,1,20150107,NYK,0.566,0.158,0.225,0.197,91.7,110.1,99.2
WAS,1,36,102,86,1,20150109,CHI,0.523,0.121,0.255,0.14,94.1,108.4,91.4
WAS,0,37,89,120,0,20150111,ATL,0.507,0.187,0.21600000000000003,0.158,91.7,97.0,130.8
WAS,1,38,101,93,1,20150113,SAS,0.533,0.149,0.235,0.28,93.7,107.7,99.2
WAS,0,39,105,99,1,20150114,CHI,0.545,0.14400000000000002,0.28600000000000003,0.256,91.3,115.0,108.4
WAS,1,40,80,102,0,20150116,BRK,0.452,0.192,0.205,0.192,91.2,87.7,111.8
WAS,0,41,99,90,1,20150117,BRK,0.552,0.128,0.31,0.182,88.1,112.4,102.1
WAS,1,42,111,76,1,20150119,PHI,0.599,0.198,0.39399999999999996,0.173,96.5,115.0,78.7
WAS,1,43,103,105,0,20150121,OKC,0.415,0.075,0.22,0.2,96.4,96.7,98.6
WAS,0,44,96,103,0,20150124,POR,0.518,0.12,0.053,0.134,97.4,98.6,105.8
WAS,0,45,117,115,1,20150125,DEN,0.556,0.145,0.244,0.189,95.0,111.5,109.6
