Cover,Date,Deff,EFG%,FTR,Game Number,Implied Prob,Line,Location,ORB%,Odds,Oeff,Opp CumEFG%,Opp CumFTR,Opp CumORB%,Opp CumTOV%,Opp Deff,Opp EFG%,Opp FTR,Opp ORB%,Opp Oeff,Opp Points,Opp R3 Deff,Opp R3 Oeff,Opp R3EFG,Opp R3FTR,Opp R3ORB,Opp R3Pace,Opp R3TOV,Opp R9 Deff,Opp R9 Oeff,Opp R9EFG,Opp R9FTR,Opp R9ORB,Opp R9Pace,Opp R9TOV,Opp TOV%,Opponent,Pace,Result,Rolling3DEff,Rolling3EFG,Rolling3FTR,Rolling3OEff,Rolling3ORB,Rolling3Pace,Rolling3TOV,Rolling9DEff,Rolling9EFG,Rolling9FTR,Rolling9OEff,Rolling9ORB,Rolling9Pace,Rolling9TOV,Season,TOV%,Team,Team Points,Unnamed: 0,teamCumEFG%,teamCumFTR,teamCumORB%,teamCumTOV%
0.0,20171017,99.7,0.488,0.253,1,63.63636364,-3.0,1,0.196,-175,102.7,,,,,102.7,0.455,0.21600000000000003,0.18,99.7,99,,,,,,,,,,,,,,,0.092,BOS,99.3,1,,,,,,,,,,,,,,,2017-2018,0.153,CLE,102,0.0,,,,
1.0,20171020,104.7,0.611,0.21,2,57.44680851,-1.5,0,0.29,-135,125.2,0.546,0.32899999999999996,0.158,0.14400000000000002,125.2,0.53,0.122,0.18600000000000003,104.7,97,,,,,,,,,,,,,,,0.138,MIL,92.7,1,,,,,,,,,,,,,,,2017-2018,0.161,CLE,116,1.0,0.488,0.253,0.196,0.153
-1.0,20171021,116.4,0.424,0.233,3,90.0,-11.0,1,0.22399999999999998,-900,95.0,0.5645,0.195,0.23199999999999998,0.1535,95.0,0.539,0.18899999999999997,0.267,116.4,114,,,,,,,,,,,,,,,0.10800000000000001,ORL,97.9,0,,,,,,,,,,,,,,,2017-2018,0.14,CLE,93,2.0,0.5495,0.2315,0.243,0.157
-1.0,20171024,121.7,0.614,0.205,4,93.75,-14.0,1,0.205,-1500,129.3,0.491,0.13,0.198666667,0.144333333,129.3,0.574,0.125,0.205,121.7,112,112.66666670000001,100.9,0.491,0.13,0.198666667,95.7,0.144333333,,,,,,,,0.08800000000000001,CHI,92.1,1,106.93333329999999,0.5076666670000001,0.23199999999999998,107.63333329999999,0.236666667,96.63333333,0.15133333300000001,,,,,,,,2017-2018,0.08900000000000001,CLE,119,3.0,0.5076666670000001,0.23199999999999998,0.236666667,0.15133333300000001
-1.0,20171025,110.3,0.556,0.21,5,72.97297297,-7.0,0,0.243,-270,105.4,0.525,0.2895,0.2835,0.14225,105.4,0.522,0.161,0.20800000000000002,110.3,112,110.03333329999998,114.13333329999999,0.519,0.28300000000000003,0.294666667,105.96666670000002,0.137666667,,,,,,,,0.105,BRK,101.5,0,114.26666670000002,0.549666667,0.21600000000000003,116.5,0.239666667,94.23333333,0.13,,,,,,,,2017-2018,0.185,CLE,107,4.0,0.53425,0.22525,0.22875,0.13575
-1.0,20171028,122.7,0.5379999999999999,0.218,6,62.96296296,-4.0,0,0.11900000000000001,-170,100.7,0.522,0.2284,0.2296,0.1498,100.7,0.584,0.126,0.23800000000000002,122.7,123,106.0,107.63333329999999,0.548333333,0.231666667,0.169666667,100.9333333,0.15233333300000002,,,,,,,,0.09699999999999999,NOP,100.3,0,116.13333329999999,0.531333333,0.21600000000000003,109.9,0.22399999999999998,97.16666667,0.138,,,,,,,,2017-2018,0.17,CLE,101,5.0,0.5386,0.2222,0.2316,0.1456
-1.0,20171029,115.2,0.444,0.284,7,82.45614035,-9.5,1,0.149,-470,96.0,0.5005,0.201833333,0.29533333300000003,0.145666667,96.0,0.545,0.191,0.244,115.2,114,100.1333333,116.06666670000001,0.539666667,0.183,0.318666667,96.8,0.137333333,,,,,,,,0.125,NYK,99.0,0,118.23333329999998,0.569333333,0.21100000000000002,111.8,0.18899999999999997,97.96666667,0.14800000000000002,,,,,,,,2017-2018,0.139,CLE,95,6.0,0.5385,0.2215,0.212833333,0.149666667
-1.0,20171101,124.6,0.541,0.163,8,85.71428571,-11.0,1,0.18600000000000003,-600,107.5,0.524571429,0.219142857,0.246857143,0.134714286,107.5,0.633,0.111,0.195,124.6,124,99.0,100.33333329999999,0.47466666700000004,0.252,0.24533333300000001,97.73333333,0.15733333300000002,,,,,,,,0.10300000000000001,IND,99.5,0,116.06666670000001,0.5126666670000001,0.237333333,100.7,0.170333333,100.2666667,0.164666667,,,,,,,,2017-2018,0.14400000000000002,CLE,107,7.0,0.525,0.23042857100000003,0.20371428600000002,0.148142857
1.0,20171103,121.8,0.634,0.317,9,39.21568627,3.5,0,0.222,155,129.8,0.52075,0.249125,0.247375,0.120625,129.8,0.601,0.25,0.257,121.8,122,114.7,119.6,0.557333333,0.22133333300000002,0.284,96.96666667,0.127,,,,,,,,0.141,WAS,100.2,1,120.83333329999999,0.5076666670000001,0.22166666699999998,101.4,0.15133333300000001,99.6,0.151,,,,,,,,2017-2018,0.129,CLE,130,8.0,0.527,0.222,0.2015,0.147625
-1.0,20171105,114.5,0.49,0.21899999999999997,10,90.90909091,-13.5,1,0.313,-1000,112.5,0.49,0.19111111100000003,0.188222222,0.136555556,112.5,0.541,0.27899999999999997,0.256,114.5,117,115.43333329999999,103.66666670000001,0.526666667,0.22,0.146,102.7,0.15533333300000002,110.13333329999999,101.2666667,0.49,0.19111111100000003,0.188222222,99.94444444,0.136555556,0.14400000000000002,ATL,102.2,0,120.53333329999998,0.539666667,0.254666667,111.1,0.18566666699999998,99.56666667,0.137333333,115.23333329999998,0.538888889,0.23255555600000002,110.17777779999999,0.20377777800000002,98.05555556,0.145555556,2017-2018,0.109,CLE,115,9.0,0.538888889,0.23255555600000002,0.20377777800000002,0.145555556
1.0,20171107,123.6,0.555,0.402,11,62.26415094,-4.0,1,0.3,-165,128.7,0.5566,0.18,0.157,0.1377,128.7,0.645,0.145,0.22899999999999998,123.6,119,123.03333329999998,116.43333329999999,0.591333333,0.124333333,0.205666667,96.0,0.135333333,114.33333329999999,109.4111111,0.557777778,0.163444444,0.156888889,95.94444444,0.13699999999999998,0.151,MIL,96.3,1,120.3,0.555,0.233,116.6,0.240333333,100.6333333,0.12733333300000002,116.87777779999999,0.539111111,0.22877777800000001,111.26666670000002,0.216777778,98.37777778,0.140666667,2017-2018,0.10800000000000001,CLE,124,10.0,0.534,0.2312,0.2147,0.1419
1.0,20171109,120.6,0.63,0.136,12,37.03703704,5.5,0,0.125,170,116.5,0.546454545,0.225818182,0.199363636,0.14036363599999999,116.5,0.5710000000000001,0.377,0.436,120.6,117,101.6,122.46666670000002,0.6273333329999999,0.205666667,0.18899999999999997,102.1,0.138333333,103.7666667,110.98888889999999,0.553222222,0.225,0.18933333300000002,98.04444444,0.146,0.192,HOU,97.0,0,119.96666670000002,0.559666667,0.312666667,123.66666670000001,0.278333333,99.56666667,0.11533333300000001,118.9777778,0.532888889,0.250111111,111.65555559999999,0.21788888899999997,98.77777778,0.13477777800000001,2017-2018,0.171,CLE,113,11.0,0.5359090910000001,0.246727273,0.222454545,0.13881818199999998
1.0,20171111,103.4,0.506,0.358,13,68.75,-5.5,0,0.233,-220,110.4,0.49908333299999996,0.18425,0.18825,0.135083333,110.4,0.478,0.174,0.17300000000000001,103.4,104,104.7333333,103.3,0.496,0.15733333300000002,0.18666666699999998,98.83333333,0.124,110.86666670000001,103.2777778,0.5016666670000001,0.17911111100000002,0.196111111,96.92222222,0.136555556,0.09,DAL,100.6,1,119.56666670000001,0.558333333,0.252333333,119.23333329999998,0.24600000000000002,98.5,0.129333333,119.44444440000001,0.555777778,0.239333333,114.04444440000002,0.206888889,98.67777778,0.138222222,2017-2018,0.15,CLE,111,12.0,0.54375,0.2375,0.21433333300000001,0.1415
