Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 Oeff,Opp R9 Deff,Opp R3 Oeff,Opp R3 Deff
CLE,1,1,1,20161025,2016-2017,NYK,0.5479999999999999,0.12,0.275,0.149,,,,,0.42,0.158,0.245,0.172,,,,,,,,,99.9,,,,,,,,,,,,,,,,,-470,-9.0,82.45614035,117,88,1.0,117.1,88.1,88.1,117.1,,,,,,,,
CLE,2,0,1,20161028,2016-2017,TOR,0.494,0.161,0.214,0.203,0.5479999999999999,0.12,0.275,0.149,0.411,0.155,0.3670000000000001,0.189,0.494,0.1,0.304,0.279,,,,,93.9,,,,,,,,,,,,,,,,,-140,-2.5,58.33333333,94,91,1.0,100.1,96.9,96.9,100.1,,,,,,,,
CLE,3,1,1,20161029,2016-2017,ORL,0.472,0.08199999999999999,0.26,0.25,0.521,0.1405,0.2445,0.17600000000000002,0.5,0.173,0.325,0.179,0.4025,0.09,0.2675,0.1655,,,,,96.5,,,,,,,,,,,,,,,,,-1100,-12.0,91.66666667,105,99,-1.0,108.8,102.6,102.6,108.8,,,,,,,,
CLE,4,1,1,20161101,2016-2017,HOU,0.614,0.102,0.364,0.313,0.5046666670000001,0.121,0.249666667,0.200666667,0.5720000000000001,0.065,0.244,0.189,0.539666667,0.15366666699999998,0.215333333,0.250333333,,,,,92.8,0.539666667,0.15366666699999998,0.215333333,0.250333333,94.66666667,,,,,,,0.5046666670000001,0.121,0.249666667,0.200666667,96.76666667,-475,-9.0,82.60869565,128,120,-1.0,138.0,129.3,129.3,138.0,,,108.66666666666667,95.86666666666667,,,110.06666666666668,108.83333333333333
CLE,5,1,1,20161103,2016-2017,BOS,0.5710000000000001,0.07400000000000001,0.194,0.381,0.532,0.11625,0.27825,0.22875,0.536,0.07,0.222,0.198,0.57,0.1295,0.1765,0.157,,,,,99.4,0.559666667,0.118,0.137666667,0.153,94.63333333,,,,,,,0.526666667,0.115,0.279333333,0.255333333,94.4,-550,-9.5,84.61538462,128,122,-1.0,128.8,122.8,122.8,128.8,,,115.63333333333333,109.60000000000002,,,109.2,106.7333333333333
CLE,6,0,1,20161105,2016-2017,PHI,0.484,0.139,0.21600000000000005,0.154,0.5398,0.1078,0.2614,0.2592,0.54,0.156,0.116,0.08,0.481,0.153,0.1416,0.1462,,,,,102.3,0.518,0.15233333300000002,0.169333333,0.12633333300000002,97.8,,,,,,,0.552333333,0.086,0.272666667,0.314666667,96.23333333,-2000,-14.0,95.23809524,102,101,-1.0,99.7,98.7,98.7,99.7,,,125.2,118.23333333333335,,,100.60000000000001,107.2
CLE,7,1,0,20161108,2016-2017,ATL,0.429,0.052000000000000005,0.25,0.212,0.5305,0.113,0.253833333,0.241666667,0.574,0.172,0.297,0.21,0.5196666670000001,0.147,0.2645,0.235833333,,,,,97.6,0.513,0.15833333300000002,0.253666667,0.237666667,101.7,,,,,,,0.556333333,0.105,0.258,0.282666667,98.16666667,-420,-8.5,80.76923077,106,110,-1.0,108.6,112.7,112.7,108.6,,,122.16666666666667,116.93333333333335,,,104.90000000000002,103.26666666666665
CLE,8,0,1,20161111,2016-2017,WAS,0.5,0.133,0.265,0.221,0.516,0.104285714,0.253285714,0.237428571,0.454,0.136,0.227,0.172,0.486142857,0.135857143,0.273285714,0.210142857,,,,,97.4,0.484,0.102333333,0.36,0.168333333,90.96666667,,,,,,,0.494666667,0.08833333300000001,0.22,0.249,99.76666667,-300,-6.5,75.0,105,94,1.0,107.8,96.5,96.5,107.8,,,112.36666666666667,111.40000000000002,,,113.39999999999999,107.7666666666667
CLE,9,1,1,20161113,2016-2017,CHO,0.5,0.084,0.255,0.087,0.514,0.107875,0.25475,0.235375,0.4370000000000001,0.047,0.196,0.105,0.49925,0.100125,0.189875,0.244375,,,,,92.5,0.524,0.091666667,0.173,0.257,97.43333333,,,,,,,0.471,0.108,0.243666667,0.195666667,99.1,-360,-8.0,78.26086957,100,93,-1.0,108.1,100.6,100.6,108.1,,,105.36666666666667,102.63333333333334,,,115.19999999999999,106.7666666666667
CLE,10,1,1,20161115,2016-2017,TOR,0.608,0.151,0.263,0.241,0.512444444,0.105222222,0.254777778,0.218888889,0.547,0.071,0.25,0.125,0.499888889,0.100111111,0.247333333,0.243666667,0.499888889,0.100111111,0.247333333,0.243666667,99.0,0.535666667,0.08433333300000001,0.208666667,0.270666667,95.56666667,93.42222222,0.512444444,0.105222222,0.254777778,0.218888889,96.92222222,0.476333333,0.08966666699999999,0.256666667,0.173333333,95.83333333,-235,-5.5,70.14925373,121,117,-1.0,122.2,118.2,118.2,122.2,113.0,105.35555555555557,108.16666666666669,103.26666666666667,112.60000000000001,106.24444444444444,119.60000000000002,111.63333333333333
CLE,11,0,0,20161116,2016-2017,IND,0.471,0.16,0.239,0.14,0.522,0.1098,0.2556,0.2211,0.5579999999999999,0.099,0.111,0.081,0.5157,0.131,0.2105,0.1886,0.510888889,0.131222222,0.215,0.17844444399999998,97.1,0.5063333329999999,0.124333333,0.173333333,0.220333333,94.9,97.38888889,0.5191111110000001,0.108666667,0.253444444,0.229111111,96.82222222,0.536,0.122666667,0.261,0.183,96.3,102,1.0,49.5049505,93,103,-1.0,95.8,106.1,106.1,95.8,113.56666666666666,108.7,112.7,105.10000000000001,106.55555555555556,111.5,106.86666666666667,108.10000000000002
CLE,12,1,1,20161118,2016-2017,DET,0.5479999999999999,0.127,0.132,0.157,0.517363636,0.114363636,0.254090909,0.213727273,0.344,0.064,0.19,0.183,0.475636364,0.107363636,0.215363636,0.177636364,0.472222222,0.105555556,0.217777778,0.188777778,95.3,0.494,0.094333333,0.194,0.15866666699999998,91.96666667,94.6,0.516555556,0.108555556,0.256222222,0.22211111100000006,97.17777778,0.526333333,0.131666667,0.252333333,0.156,96.2,-475,-9.0,82.60869565,104,81,1.0,109.2,85.0,85.0,109.2,113.0888888888889,109.72222222222223,108.7,108.3,103.63333333333334,102.05555555555554,107.33333333333333,101.86666666666667
