Unnamed: 0,Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R9Pace,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Prob,Team Points,Opp Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 Oeff,Opp R9 Deff,Opp R3 Oeff,Opp R3 Deff
0,CLE,1,1,1,20171017,2017-2018,BOS,0.488,0.153,0.196,0.253,,,,,0.455,0.092,0.18,0.216,,,,,,,,,99.3,,,,,,,,,,,,,,,,,-175,-3,63.63636364,102,99,0,102.7,99.7,99.7,102.7,,,,,,,,
1,CLE,2,0,1,20171020,2017-2018,MIL,0.611,0.161,0.29,0.21,0.488,0.153,0.196,0.253,0.53,0.138,0.186,0.122,0.546,0.144,0.158,0.329,,,,,92.7,,,,,,,,,,,,,,,,,-135,-1.5,57.44680851,116,97,1,125.2,104.7,104.7,125.2,,,,,,,,
2,CLE,3,1,0,20171021,2017-2018,ORL,0.424,0.14,0.224,0.233,0.5495,0.157,0.243,0.2315,0.539,0.108,0.267,0.189,0.5645,0.1535,0.232,0.195,,,,,97.9,,,,,,,,,,,,,,,,,-900,-11,90,93,114,-1,95,116.4,116.4,95,,,,,,,,
3,CLE,4,1,1,20171024,2017-2018,CHI,0.614,0.089,0.205,0.205,0.507666667,0.151333333,0.236666667,0.232,0.574,0.088,0.205,0.125,0.491,0.144333333,0.198666667,0.13,,,,,92.1,0.491,0.144333333,0.198666667,0.13,95.7,,,,,,,0.507666667,0.151333333,0.236666667,0.232,96.63333333,-1500,-14,93.75,119,112,-1,129.3,121.7,121.7,129.3,,,107.6333333,106.9333333,,,100.9,112.6666667
4,CLE,5,0,0,20171025,2017-2018,BRK,0.556,0.185,0.243,0.21,0.53425,0.13575,0.22875,0.22525,0.522,0.105,0.208,0.161,0.525,0.14225,0.2835,0.2895,,,,,101.5,0.519,0.137666667,0.294666667,0.283,105.9666667,,,,,,,0.549666667,0.13,0.239666667,0.216,94.23333333,-270,-7,72.97297297,107,112,-1,105.4,110.3,110.3,105.4,,,116.5,114.2666667,,,114.1333333,110.0333333
5,CLE,6,0,0,20171028,2017-2018,NOP,0.538,0.17,0.119,0.218,0.5386,0.1456,0.2316,0.2222,0.584,0.097,0.238,0.126,0.522,0.1498,0.2296,0.2284,,,,,100.3,0.548333333,0.152333333,0.169666667,0.231666667,100.9333333,,,,,,,0.531333333,0.138,0.224,0.216,97.16666667,-170,-4,62.96296296,101,123,-1,100.7,122.7,122.7,100.7,,,109.9,116.1333333,,,107.6333333,106
6,CLE,7,1,0,20171029,2017-2018,NYK,0.444,0.139,0.149,0.284,0.5385,0.149666667,0.212833333,0.2215,0.545,0.125,0.244,0.191,0.5005,0.145666667,0.295333333,0.201833333,,,,,99,0.539666667,0.137333333,0.318666667,0.183,96.8,,,,,,,0.569333333,0.148,0.189,0.211,97.96666667,-470,-9.5,82.45614035,95,114,-1,96,115.2,115.2,96,,,111.8,118.2333333,,,116.0666667,100.1333333
7,CLE,8,1,0,20171101,2017-2018,IND,0.541,0.144,0.186,0.163,0.525,0.148142857,0.203714286,0.230428571,0.633,0.103,0.195,0.111,0.524571429,0.134714286,0.246857143,0.219142857,,,,,99.5,0.474666667,0.157333333,0.245333333,0.252,97.73333333,,,,,,,0.512666667,0.164666667,0.170333333,0.237333333,100.2666667,-600,-11,85.71428571,107,124,-1,107.5,124.6,124.6,107.5,,,100.7,116.0666667,,,100.3333333,99
8,CLE,9,0,1,20171103,2017-2018,WAS,0.634,0.129,0.222,0.317,0.527,0.147625,0.2015,0.222,0.601,0.141,0.257,0.25,0.52075,0.120625,0.247375,0.249125,,,,,100.2,0.557333333,0.127,0.284,0.221333333,96.96666667,,,,,,,0.507666667,0.151,0.151333333,0.221666667,99.6,155,3.5,39.21568627,130,122,1,129.8,121.8,121.8,129.8,,,101.4,120.8333333,,,119.6,114.7
9,CLE,10,1,0,20171105,2017-2018,ATL,0.49,0.109,0.313,0.219,0.538888889,0.145555556,0.203777778,0.232555556,0.541,0.144,0.256,0.279,0.49,0.136555556,0.188222222,0.191111111,0.49,0.136555556,0.188222222,0.191111111,102.2,0.526666667,0.155333333,0.146,0.22,102.7,99.94444444,0.538888889,0.145555556,0.203777778,0.232555556,98.05555556,0.539666667,0.137333333,0.185666667,0.254666667,99.56666667,-1000,-13.5,90.90909091,115,117,-1,112.5,114.5,114.5,112.5,110.1777778,115.2333333,111.1,120.5333333,101.2666667,110.1333333,103.6666667,115.4333333
10,CLE,11,1,1,20171107,2017-2018,MIL,0.555,0.108,0.3,0.402,0.534,0.1419,0.2147,0.2312,0.645,0.151,0.229,0.145,0.5566,0.1377,0.157,0.18,0.557777778,0.137,0.156888889,0.163444444,96.3,0.591333333,0.135333333,0.205666667,0.124333333,96,95.94444444,0.539111111,0.140666667,0.216777778,0.228777778,98.37777778,0.555,0.127333333,0.240333333,0.233,100.6333333,-165,-4,62.26415094,124,119,1,128.7,123.6,123.6,128.7,111.2666667,116.8777778,116.6,120.3,109.4111111,114.3333333,116.4333333,123.0333333
11,CLE,12,0,0,20171109,2017-2018,HOU,0.63,0.171,0.125,0.136,0.535909091,0.138818182,0.222454545,0.246727273,0.571,0.192,0.436,0.377,0.546454545,0.140363636,0.199363636,0.225818182,0.553222222,0.146,0.189333333,0.225,97,0.627333333,0.138333333,0.189,0.205666667,102.1,98.04444444,0.532888889,0.134777778,0.217888889,0.250111111,98.77777778,0.559666667,0.115333333,0.278333333,0.312666667,99.56666667,170,5.5,37.03703704,113,117,1,116.5,120.6,120.6,116.5,111.6555556,118.9777778,123.6666667,119.9666667,110.9888889,103.7666667,122.4666667,101.6
12,CLE,13,0,1,20171111,2017-2018,DAL,0.506,0.15,0.233,0.358,0.54375,0.1415,0.214333333,0.2375,0.478,0.09,0.173,0.174,0.499083333,0.135083333,0.18825,0.18425,0.501666667,0.136555556,0.196111111,0.179111111,100.6,0.496,0.124,0.186666667,0.157333333,98.83333333,96.92222222,0.555777778,0.138222222,0.206888889,0.239333333,98.67777778,0.558333333,0.129333333,0.246,0.252333333,98.5,-220,-5.5,68.75,111,104,1,110.4,103.4,103.4,110.4,114.0444444,119.4444444,119.2333333,119.5666667,103.2777778,110.8666667,103.3,104.7333333
13,CLE,14,0,1,20171113,2017-2018,NYK,0.489,0.17,0.28,0.205,0.540846154,0.142153846,0.215769231,0.246769231,0.477,0.148,0.277,0.193,0.529230769,0.144769231,0.267692308,0.185307692,0.555666667,0.147333333,0.252888889,0.182777778,100,0.540666667,0.154,0.275,0.150333333,96.2,97.03333333,0.543777778,0.145,0.21,0.256333333,99.62222222,0.563666667,0.143,0.219333333,0.298666667,97.96666667,-190,-3.5,65.51724138,104,101,-1,104,101,101,104,111.9444444,117.4111111,118.5333333,115.8666667,113.7444444,109.0888889,110.3333333,106.4333333
