Team,Game Number,Location,Result,Date,Season,Opponent,EFG%,TOV%,ORB%,FTR,Pace,teamCumEFG%,teamCumTOV%,teamCumORB%,teamCumFTR,Opp EFG%,Opp TOV%,Opp ORB%,Opp FTR,Opp CumEFG%,Opp CumTOV%,Opp CumORB%,Opp CumFTR,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Opp R9Pace,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Odds,Line,Implied Proba,Opp Points,Team Points,Cover,Oeff,Deff,Opp Oeff,Opp Deff,Rolling9OEff,Rolling9DEff,Rolling3OEff,Rolling3DEff,Opp R9 Oeff,Opp R9 Deff,Opp R3 Oeff,Opp R3 Deff
CLE,1,0,0,20181017,2018-2019,TOR,0.441,0.135,0.28600000000000003,0.341,100.3,,,,,0.565,0.08199999999999999,0.18600000000000005,0.13,,,,,,,,,,,,,,,,,,,,,,,,,600,11.5,14.28571429,116,104,-1.0,103.7,115.6,115.6,103.7,,,,,,,,
CLE,2,0,0,20181019,2018-2019,MIN,0.527,0.117,0.295,0.269,103.4,0.441,0.135,0.28600000000000003,0.341,0.563,0.113,0.231,0.379,0.462,0.097,0.298,0.264,,,,,,,,,,,,,,,,,,,,,305,8.5,24.69135802,131,123,1.0,119.0,126.7,126.7,119.0,,,,,,,,
CLE,3,1,0,20181021,2018-2019,ATL,0.515,0.146,0.3,0.091,106.0,0.484,0.126,0.2905,0.305,0.602,0.101,0.209,0.153,0.5445,0.179,0.2035,0.21,,,,,,,,,,,,,,,,,,,,,-260,-6.5,72.22222222,133,111,-1.0,104.7,125.5,125.5,104.7,,,,,,,,
CLE,4,1,0,20181024,2018-2019,BRK,0.399,0.135,0.308,0.16899999999999998,95.0,0.494333333,0.132666667,0.293666667,0.233666667,0.517,0.13,0.17800000000000002,0.138,0.553666667,0.17800000000000002,0.233,0.208666667,,,,,,,,,,,0.553666667,0.17800000000000002,0.233,0.208666667,98.56666667,0.494333333,0.132666667,0.293666667,0.233666667,103.2333333,-150,-3.0,60.0,102,86,-1.0,90.5,107.4,107.4,90.5,,,109.13333333333333,122.60000000000001,,,108.0,114.83333333333333
CLE,5,0,0,20181025,2018-2019,DET,0.506,0.086,0.16699999999999998,0.146,95.4,0.4705,0.13325,0.29725,0.2175,0.596,0.181,0.361,0.218,0.519,0.11,0.30425,0.19475,,,,,,,,,,,0.539666667,0.106333333,0.308333333,0.190666667,98.76666667,0.480333333,0.132666667,0.301,0.176333333,101.4666667,250,7.0,28.57142857,110,103,0.0,108.0,115.3,115.3,108.0,,,104.73333333333333,119.86666666666667,,,117.56666666666666,114.16666666666667
CLE,6,1,0,20181027,2018-2019,IND,0.506,0.136,0.444,0.233,91.6,0.4776,0.1238,0.2712,0.2032,0.682,0.149,0.14800000000000002,0.243,0.56,0.1304,0.2376,0.1308,,,,,,,,,,,0.567333333,0.107,0.206,0.117333333,98.03333333,0.473333333,0.122333333,0.258333333,0.135333333,98.8,245,6.0,28.98550725,119,107,-1.0,116.8,129.9,129.9,116.8,,,101.06666666666666,116.06666666666668,,,115.33333333333336,104.96666666666665
CLE,7,1,1,20181030,2018-2019,ATL,0.5720000000000001,0.107,0.28300000000000003,0.3670000000000001,105.7,0.482333333,0.12583333300000002,0.3,0.208166667,0.628,0.197,0.146,0.134,0.498,0.1475,0.196166667,0.198333333,,,,,,,,,,,0.432333333,0.142,0.187,0.205666667,105.1,0.470333333,0.119,0.306333333,0.182666667,94.0,-170,-4.0,62.96296296,114,136,1.0,128.6,107.8,107.8,128.6,,,105.10000000000001,117.53333333333335,,,91.16666666666664,99.53333333333336
CLE,8,1,0,20181101,2018-2019,DEN,0.44,0.125,0.302,0.217,87.4,0.4951428570000001,0.123142857,0.297571429,0.230857143,0.541,0.113,0.389,0.212,0.504428571,0.116571429,0.268428571,0.226,,,,,,,,,,,0.511333333,0.133666667,0.256333333,0.170333333,100.7333333,0.528,0.109666667,0.298,0.248666667,97.56666667,195,6.0,33.89830508,110,91,-1.0,104.1,125.8,125.8,104.1,,,117.8,117.66666666666667,,,108.36666666666667,108.63333333333328
CLE,9,0,0,20181103,2018-2019,CHO,0.494,0.129,0.073,0.173,96.6,0.48825,0.123375,0.298125,0.229125,0.626,0.134,0.343,0.132,0.536,0.098125,0.23025,0.203375,,,,,,,,,,,0.568333333,0.1,0.241,0.222666667,98.63333333,0.506,0.122666667,0.343,0.272333333,94.9,380,9.5,20.83333333,126,94,-1.0,97.3,130.4,130.4,97.3,,,116.5,121.16666666666667,,,122.90000000000002,109.53333333333332
CLE,10,0,0,20181105,2018-2019,ORL,0.575,0.174,0.211,0.1,95.2,0.488888889,0.124,0.273111111,0.222888889,0.511,0.138,0.227,0.149,0.479222222,0.107,0.22211111100000006,0.149777778,0.488888889,0.124,0.273111111,0.222888889,97.93333333,0.479222222,0.107,0.22211111100000006,0.149777778,99.42222222,0.498,0.101333333,0.207,0.147,99.13333333,0.502,0.120333333,0.219333333,0.252333333,96.56666667,130,3.5,43.47826087,102,100,1.0,105.1,107.2,107.2,105.1,108.07777777777777,120.48888888888888,110.0,121.33333333333333,102.75555555555555,112.51111111111112,104.93333333333338,113.39999999999999
