Team,ML Odds,Date
CLE,+130,20151027.0
CHI,-150,20151027.0
DET,+255,20151027.0
ATL,-310,20151027.0
NOP,+425,20151027.0
GSW,-550,20151027.0
WAS,-185,20151028.0
ORL,+160,20151028.0
PHI,+600,20151028.0
BOS,-900,20151028.0
IND,+185,20151028.0
TOR,-225,20151028.0
CHI,-235,20151028.0
BRK,+195,20151028.0
CHO,+210,20151028.0
MIA,-250,20151028.0
UTA,-123,20151028.0
DET,+103,20151028.0
SAS,+165,20151028.0
OKC,-190,20151028.0
NYK,+220,20151028.0
MIL,-260,20151028.0
DEN,+475,20151028.0
HOU,-650,20151028.0
CLE,+210,20151028.0
MEM,-250,20151028.0
NOP,+125,20151028.0
POR,-145,20151028.0
DAL,+175,20151028.0
PHO,-210,20151028.0
LAC,-225,20151028.0
SAC,+205,20151028.0
MIN,+145,20151028.0
LAL,-165,20151028.0
MIA,+220,20151030.0
CLE,-260,20151030.0
UTA,-290,20151030.0
PHI,+245,20151030.0
OKC,-370,20151030.0
ORL,+310,20151030.0
TOR,+120,20151030.0
BOS,-140,20151030.0
CHI,-150,20151030.0
DET,+130,20151030.0
WAS,-130,20151030.0
MIL,+110,20151030.0
CHO,+175,20151030.0
ATL,-210,20151030.0
BRK,+1150,20151030.0
SAS,-1800,20151030.0
MIN,+165,20151030.0
DEN,-190,20151030.0
GSW,-130,20151030.0
HOU,+110,20151030.0
LAL,+225,20151030.0
SAC,-265,20151030.0
POR,+170,20151030.0
PHO,-200,20151030.0
CLE,-1250,20151102.0
PHI,+800,20151102.0
SAS,-310,20151102.0
NYK,+255,20151102.0
MIL,+105,20151102.0
BRK,-125,20151102.0
OKC,-135,20151102.0
HOU,+115,20151102.0
POR,+200,20151102.0
MIN,-240,20151102.0
MEM,+365,20151102.0
GSW,-460,20151102.0
PHO,+365,20151102.0
LAC,-460,20151102.0
SAS,-170,20151104.0
WAS,+160,20151104.0
BOS,-125,20151104.0
IND,+115,20151104.0
NYK,+400,20151104.0
CLE,-500,20151104.0
BRK,+325,20151104.0
ATL,-400,20151104.0
PHI,+425,20151104.0
MIL,-550,20151104.0
ORL,+325,20151104.0
HOU,-400,20151104.0
TOR,+375,20151104.0
OKC,-470,20151104.0
POR,+225,20151104.0
UTA,-265,20151104.0
SAC,+400,20151104.0
PHO,-450,20151104.0
LAC,+280,20151104.0
GSW,-340,20151104.0
LAL,+170,20151108.0
NYK,-200,20151108.0
IND,+265,20151108.0
CLE,-295,20151108.0
TOR,+120,20151108.0
MIA,-140,20151108.0
PHO,+360,20151108.0
OKC,-450,20151108.0
DET,+105,20151108.0
POR,-125,20151108.0
OKC,-185,20151110.0
WAS,+160,20151110.0
UTA,+195,20151110.0
CLE,-235,20151110.0
LAL,+775,20151110.0
MIA,-1200,20151110.0
NYK,+315,20151110.0
TOR,-380,20151110.0
DAL,+115,20151110.0
NOP,-135,20151110.0
CHO,-125,20151110.0
MIN,+105,20151110.0
BOS,+100,20151110.0
MIL,-120,20151110.0
UTA,-120,20151113.0
ORL,+100,20151113.0
MIN,+310,20151113.0
IND,-370,20151113.0
CLE,-235,20151113.0
NYK,+195,20151113.0
NOP,+400,20151113.0
TOR,-500,20151113.0
ATL,-125,20151113.0
BOS,+105,20151113.0
PHI,+1000,20151113.0
OKC,-1500,20151113.0
POR,+245,20151113.0
MEM,-290,20151113.0
CHO,+245,20151113.0
CHI,-290,20151113.0
LAL,+350,20151113.0
DAL,-440,20151113.0
HOU,-210,20151113.0
DEN,+175,20151113.0
BRK,+210,20151113.0
SAC,-250,20151113.0
DET,+145,20151114.0
LAC,-165,20151114.0
ORL,+195,20151114.0
WAS,-235,20151114.0
