Team,Spread,Date
CLE,+1½,20151027
CHI,-1½,20151027
DET,+8,20151027
ATL,-8,20151027
NOP,+8½,20151027
GSW,-8½,20151027
WAS,-4,20151028
ORL,+4,20151028
PHI,+11,20151028
BOS,-11,20151028
IND,+5,20151028
TOR,-5,20151028
CHI,-4,20151028
BRK,+4,20151028
CHO,+7,20151028
MIA,-7,20151028
UTA,+1½,20151028
DET,-1½,20151028
SAS,+3½,20151028
OKC,-3½,20151028
NYK,+5,20151028
MIL,-5,20151028
DEN,+9½,20151028
HOU,-9½,20151028
CLE,+4,20151028
MEM,-4,20151028
NOP,PK,20151028
POR,PK,20151028
DAL,+3½,20151028
PHO,-3½,20151028
LAC,-5½,20151028
SAC,+5½,20151028
MIN,+5,20151028
LAL,-5,20151028
MIA,+6½,20151030
CLE,-6½,20151030
UTA,-7,20151030
PHI,+7,20151030
OKC,-8½,20151030
ORL,+8½,20151030
TOR,+2½,20151030
BOS,-2½,20151030
CHI,-2½,20151030
DET,+2½,20151030
WAS,-1½,20151030
MIL,+1½,20151030
CHO,+5,20151030
ATL,-5,20151030
BRK,+14½,20151030
SAS,-14½,20151030
MIN,+4,20151030
DEN,-4,20151030
GSW,-1½,20151030
HOU,+1½,20151030
LAL,+6½,20151030
SAC,-6½,20151030
POR,+4½,20151030
PHO,-4½,20151030
CLE,-12½,20151102
PHI,+12½,20151102
SAS,-7½,20151102
NYK,+7½,20151102
MIL,-1,20151102
BRK,+1,20151102
OKC,-1,20151102
HOU,+1,20151102
POR,+5½,20151102
MIN,-5½,20151102
MEM,+8½,20151102
GSW,-8½,20151102
PHO,+9½,20151102
LAC,-9½,20151102
SAS,-3½,20151104
WAS,+3½,20151104
BOS,-2½,20151104
IND,+2½,20151104
NYK,+9,20151104
CLE,-9,20151104
BRK,+8½,20151104
ATL,-8½,20151104
PHI,+10,20151104
MIL,-10,20151104
ORL,+8½,20151104
HOU,-8½,20151104
TOR,+9,20151104
OKC,-9,20151104
POR,+6,20151104
UTA,-6,20151104
SAC,+9,20151104
PHO,-9,20151104
LAC,+7½,20151104
GSW,-7½,20151104
LAL,+4½,20151108
NYK,-4½,20151108
IND,+7½,20151108
CLE,-7½,20151108
TOR,+2½,20151108
MIA,-2½,20151108
PHO,+8,20151108
OKC,-8,20151108
DET,+1½,20151108
POR,-1½,20151108
OKC,-4½,20151110
WAS,+4½,20151110
UTA,+5½,20151110
CLE,-5½,20151110
LAL,+12½,20151110
MIA,-12½,20151110
NYK,+8,20151110
TOR,-8,20151110
DAL,+1½,20151110
NOP,-1½,20151110
CHO,-1½,20151110
MIN,+1½,20151110
BOS,+1,20151110
MIL,-1,20151110
UTA,-1,20151113
ORL,+1,20151113
MIN,+7,20151113
IND,-7,20151113
CLE,-6,20151113
NYK,+6,20151113
NOP,+9½,20151113
TOR,-9½,20151113
ATL,PK,20151113
BOS,PK,20151113
PHI,+13,20151113
OKC,-13,20151113
POR,+7,20151113
MEM,-7,20151113
CHO,+7,20151113
CHI,-7,20151113
LAL,+7½,20151113
DAL,-7½,20151113
HOU,-5,20151113
DEN,+5,20151113
BRK,+6,20151113
SAC,-6,20151113
DET,+3½,20151114
LAC,-3½,20151114
ORL,+6,20151114
WAS,-6,20151114
DAL,+6,20151114
HOU,-6,20151114
CLE,-5½,20151114
MIL,+5½,20151114
PHI,+17,20151114
SAS,-17,20151114
DEN,+8,20151114
PHO,-8,20151114
BRK,+18½,20151114
GSW,-18½,20151114
MIL,+4,20151117
WAS,-4,20151117
ATL,-3½,20151117
BRK,+3½,20151117
MIN,+9,20151117
MIA,-9,20151117
CLE,-5,20151117
DET,+5,20151117
CHO,-1,20151117
NYK,+1,20151117
DEN,+6,20151117
NOP,-6,20151117
TOR,+8½,20151117
GSW,-8½,20151117
SAC,+7½,20151119
MIA,-7½,20151119
MIL,+9½,20151119
CLE,-9½,20151119
GSW,-7,20151119
LAC,+7,20151119
ORL,+9½,20151123
CLE,-9½,20151123
SAC,+5,20151123
CHO,-5,20151123
NYK,+5,20151123
MIA,-5,20151123
PHI,+7,20151123
MIN,-7,20151123
DET,-2,20151123
MIL,+2,20151123
PHO,+8½,20151123
SAS,-8½,20151123
OKC,+3½,20151123
UTA,-3½,20151123
NYK,+1½,20151125
ORL,-1½,20151125
WAS,+2½,20151125
CHO,-2½,20151125
PHI,+10½,20151125
BOS,-10½,20151125
MIA,-1,20151125
DET,+1,20151125
CLE,-1½,20151125
TOR,+1½,20151125
MEM,+3½,20151125
HOU,-3½,20151125
SAC,+5,20151125
MIL,-5,20151125
BRK,+12½,20151125
OKC,-12½,20151125
ATL,-2,20151125
MIN,+2,20151125
DAL,+9,20151125
SAS,-9,20151125
NOP,+4½,20151125
PHO,-4½,20151125
UTA,+4½,20151125
LAC,-4½,20151125
MIL,+4,20151127
ORL,-4,20151127
CLE,-4,20151127
CHO,+4,20151127
MIA,-1½,20151127
NYK,+1½,20151127
WAS,+3½,20151127
BOS,-3½,20151127
PHI,+10½,20151127
HOU,-10½,20151127
ATL,+3,20151127
MEM,-3,20151127
DET,+7½,20151127
OKC,-7½,20151127
CHI,+2½,20151127
IND,-2½,20151127
SAS,-9½,20151127
DEN,+9½,20151127
GSW,-8½,20151127
PHO,+8½,20151127
MIN,+2,20151127
SAC,-2,20151127
NOP,+6½,20151127
LAC,-6½,20151127
TOR,-2½,20151128
WAS,+2½,20151128
BRK,+10,20151128
CLE,-10,20151128
ATL,+7½,20151128
SAS,-7½,20151128
DEN,+9,20151128
DAL,-9,20151128
NOP,+8,20151128
UTA,-8,20151128
LAL,+8,20151128
POR,-8,20151128
SAC,+14,20151128
GSW,-14,20151128
WAS,+9½,20151201
CLE,-9½,20151201
LAL,-1½,20151201
PHI,+1½,20151201
PHO,-3,20151201
BRK,+3,20151201
MEM,+1,20151201
NOP,-1,20151201
ORL,+1½,20151201
MIN,-1½,20151201
DAL,PK,20151201
POR,PK,20151201
DEN,-2½,20151205
PHI,+2½,20151205
GSW,-7,20151205
TOR,+7,20151205
CLE,+2½,20151205
MIA,-2½,20151205
POR,+2,20151205
MIN,-2,20151205
SAC,+3,20151205
HOU,-3,20151205
CHO,+5½,20151205
CHI,-5½,20151205
NYK,-1½,20151205
MIL,+1½,20151205
BOS,+8½,20151205
SAS,-8½,20151205
IND,-1½,20151205
UTA,+1½,20151205
ORL,+2½,20151205
LAC,-2½,20151205
GSW,-5½,20151208
IND,+5½,20151208
POR,+9,20151208
CLE,-9,20151208
HOU,-4,20151208
BRK,+4,20151208
OKC,-2½,20151208
MEM,+2½,20151208
ORL,-3½,20151208
DEN,+3½,20151208
