Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling9EFG,Rolling9TOV,Rolling9ORB,Rolling9FTR,Rolling9Pace,Rolling9OEff,Rolling9DEff,Opp R9EFG,Opp R9TOV,Opp R9ORB,Opp R9FTR,Opp R9Pace,Opp R9 OEff,Opp R9 DEff,Odds,Line,Cover
CLE,1,1,90,95,0,20141030,NYK,0.521,0.19399999999999998,0.297,0.243,83.1,108.3,114.3,0.58,0.163,0.29,0.217,83.1,114.3,108.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000.0,-11.5,-1.0
CLE,0,2,114,108,1,20141031,CHI,0.409,0.071,0.392,0.279,91.5,112.8,106.9,0.528,0.163,0.256,0.14400000000000002,91.5,106.9,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,4.0,1.0
CLE,0,3,82,101,0,20141104,POR,0.418,0.133,0.25,0.129,88.1,93.0,114.6,0.547,0.113,0.243,0.253,88.1,114.6,93.0,,,,,,,,0.4716666666666667,0.11833333333333332,0.2883333333333333,0.166,91.8,105.76666666666668,104.46666666666664,,,,,,,,,,,,,,,-140.0,-2.5,-1.0
CLE,0,4,100,102,0,20141105,UTA,0.458,0.11800000000000001,0.2,0.472,87.1,114.9,117.2,0.552,0.122,0.361,0.221,87.1,117.2,114.9,0.4493333333333333,0.13266666666666668,0.313,0.217,87.56666666666666,104.7,111.93333333333332,0.5223333333333334,0.14200000000000002,0.2913333333333334,0.249,93.36666666666666,114.46666666666664,114.13333333333333,,,,,,,,,,,,,,,-200.0,-5.0,-1.0
CLE,0,5,110,101,1,20141107,DEN,0.512,0.075,0.15,0.28600000000000003,96.7,113.8,104.5,0.535,0.124,0.182,0.118,96.7,104.5,113.8,0.4283333333333332,0.10733333333333334,0.2806666666666667,0.2933333333333333,88.89999999999998,106.9,112.89999999999998,0.467,0.13699999999999998,0.239,0.26433333333333336,98.5,103.1,115.96666666666664,,,,,,,,,,,,,,,-185.0,-4.5,1.0
CLE,1,6,118,111,1,20141110,NOP,0.574,0.087,0.316,0.309,88.8,132.9,125.0,0.505,0.047,0.298,0.183,88.8,125.0,132.9,0.4626666666666666,0.10866666666666668,0.20000000000000004,0.2956666666666667,90.63333333333333,107.23333333333332,112.09999999999998,0.4593333333333334,0.11133333333333333,0.22866666666666666,0.199,91.46666666666668,102.56666666666668,103.13333333333333,,,,,,,,,,,,,,,-245.0,-6.0,1.0
CLE,0,7,122,121,1,20141114,BOS,0.5529999999999999,0.098,0.205,0.329,102.1,119.5,118.5,0.58,0.125,0.2,0.21600000000000005,102.1,118.5,119.5,0.5146666666666666,0.09333333333333334,0.2220000000000001,0.35566666666666663,90.86666666666665,120.53333333333336,115.56666666666663,0.5246666666666666,0.10533333333333332,0.208,0.161,90.63333333333333,110.66666666666664,113.43333333333338,,,,,,,,,,,,,,,-220.0,-5.5,-1.0
CLE,1,8,127,94,1,20141115,ATL,0.65,0.12,0.316,0.111,97.4,130.4,96.5,0.461,0.158,0.239,0.122,97.4,96.5,130.4,0.5463333333333332,0.08666666666666667,0.22366666666666668,0.308,95.86666666666665,122.06666666666668,116.0,0.5520000000000002,0.154,0.23600000000000002,0.268,90.09999999999998,112.66666666666664,105.3,,,,,,,,,,,,,,,-310.0,-7.0,1.0
CLE,1,9,97,106,0,20141117,DEN,0.494,0.14400000000000002,0.231,0.241,94.0,103.2,112.8,0.5529999999999999,0.141,0.214,0.141,94.0,112.8,103.2,0.5923333333333333,0.10166666666666667,0.27899999999999997,0.24966666666666665,96.09999999999997,127.6,113.33333333333331,0.496,0.11066666666666664,0.2743333333333333,0.21866666666666668,95.73333333333336,109.43333333333337,113.03333333333336,,,,,,,,0.4705555555555555,0.125,0.2596666666666667,0.2323333333333333,97.07777777777777,104.05555555555556,111.25555555555556,-1000.0,-11.5,-1.0
CLE,1,10,90,92,0,20141119,SAS,0.488,0.153,0.23800000000000002,0.108,90.2,99.7,101.9,0.507,0.15,0.263,0.23,90.2,101.9,99.7,0.5656666666666667,0.12066666666666664,0.25066666666666665,0.22699999999999995,97.8333333333333,117.7,109.26666666666664,0.4833333333333332,0.13233333333333328,0.16266666666666665,0.21166666666666667,94.0,100.7666666666667,88.56666666666666,0.5098888888888888,0.11555555555555555,0.26188888888888884,0.2665555555555556,92.08888888888887,114.31111111111107,112.25555555555556,0.465888888888889,0.12644444444444447,0.217,0.231,93.63333333333334,100.76666666666668,97.13333333333334,-140.0,-2.5,-1.0
CLE,0,11,78,91,0,20141121,WAS,0.4,0.182,0.205,0.24,93.2,83.7,97.7,0.512,0.162,0.23800000000000002,0.06,93.2,97.7,83.7,0.544,0.139,0.26166666666666666,0.1533333333333333,93.86666666666665,111.1,103.7333333333333,0.506,0.11033333333333332,0.2300000000000001,0.2113333333333333,93.46666666666668,109.46666666666664,107.3,0.5062222222222222,0.11100000000000004,0.2553333333333333,0.25155555555555564,92.87777777777778,113.35555555555555,110.87777777777781,0.4942222222222223,0.12244444444444448,0.22677777777777786,0.22855555555555554,93.55555555555551,105.17777777777776,101.72222222222223,-125.0,-1.5,-1.0
CLE,1,12,93,110,0,20141122,TOR,0.451,0.161,0.297,0.247,95.6,97.3,115.1,0.45,0.075,0.18600000000000005,0.475,95.6,115.1,97.3,0.4606666666666667,0.15966666666666665,0.22466666666666665,0.19633333333333328,92.46666666666664,95.53333333333336,104.13333333333333,0.5606666666666664,0.10099999999999998,0.2963333333333334,0.18533333333333327,88.86666666666666,124.03333333333336,100.4,0.5052222222222222,0.12333333333333335,0.2345555555555555,0.2472222222222223,93.06666666666666,110.12222222222223,109.85555555555555,0.5228888888888888,0.11244444444444444,0.2307777777777777,0.2521111111111112,92.73333333333332,115.24444444444444,100.05555555555556,-165.0,-4.5,-1.0
CLE,1,13,106,74,1,20141124,ORL,0.556,0.11699999999999999,0.308,0.198,88.1,120.3,84.0,0.394,0.16399999999999998,0.289,0.138,88.1,84.0,120.3,0.4463333333333334,0.16533333333333333,0.24666666666666665,0.19833333333333328,92.99999999999996,93.56666666666668,104.89999999999996,0.47,0.11133333333333337,0.26133333333333336,0.2290000000000001,91.36666666666666,104.83333333333336,114.30000000000008,0.508888888888889,0.12644444444444447,0.23977777777777776,0.26033333333333336,93.9,110.6,109.91111111111113,0.5192222222222223,0.12988888888888886,0.20111111111111105,0.20766666666666664,91.65555555555555,106.88888888888893,108.25555555555556,-450.0,-9.0,1.0
CLE,1,14,113,87,1,20141126,WAS,0.5539999999999999,0.09,0.26899999999999996,0.419,88.4,127.9,98.5,0.5,0.182,0.21899999999999997,0.225,88.4,98.5,127.9,0.4690000000000001,0.15333333333333332,0.27,0.2283333333333333,92.29999999999997,100.43333333333337,98.93333333333328,0.4996666666666667,0.15100000000000002,0.3316666666666667,0.16433333333333333,95.03333333333336,106.5333333333333,99.43333333333332,0.5197777777777778,0.12633333333333333,0.2517777777777777,0.2298888888888889,94.01111111111112,111.2,106.22222222222223,0.4781111111111112,0.12677777777777782,0.2686666666666667,0.20233333333333334,93.8222222222222,104.02222222222224,102.13333333333335,-280.0,-6.5,1.0
CLE,1,15,109,97,1,20141129,IND,0.5710000000000001,0.08900000000000001,0.214,0.256,90.2,120.9,107.5,0.433,0.065,0.3,0.225,90.2,107.5,120.9,0.5203333333333334,0.12266666666666665,0.2913333333333333,0.28800000000000003,90.7,115.16666666666669,99.19999999999996,0.513,0.10833333333333332,0.242,0.185,93.73333333333328,109.86666666666666,102.63333333333335,0.5244444444444445,0.128,0.265,0.2446666666666667,93.08888888888887,112.76666666666668,105.55555555555559,0.4757777777777777,0.11566666666666675,0.2876666666666666,0.17766666666666675,89.25555555555556,105.01111111111106,104.36666666666667,-475.0,-9.5,1.0
CLE,1,16,111,108,1,20141202,MIL,0.575,0.175,0.2,0.37,98.4,112.9,109.8,0.527,0.11699999999999999,0.267,0.12,98.4,109.8,112.9,0.5603333333333335,0.09866666666666664,0.26366666666666666,0.29100000000000004,88.89999999999998,123.03333333333336,96.66666666666664,0.5256666666666666,0.14633333333333332,0.28066666666666656,0.2666666666666668,91.8,112.5666666666667,105.96666666666664,0.5241111111111112,0.12822222222222224,0.25366666666666665,0.23877777777777776,93.24444444444444,111.43333333333337,103.61111111111114,0.5014444444444446,0.13744444444444445,0.28,0.2415555555555555,91.37777777777777,108.55555555555559,109.5,-700.0,-10.5,-1.0
CLE,0,17,90,87,1,20141204,NYK,0.493,0.17300000000000001,0.16699999999999998,0.3,90.5,99.5,96.2,0.466,0.188,0.386,0.057,90.5,96.2,99.5,0.5666666666666668,0.11799999999999998,0.2276666666666666,0.3483333333333333,92.3333333333333,120.5666666666667,105.26666666666664,0.42300000000000026,0.12366666666666667,0.2869999999999999,0.18233333333333326,86.83333333333337,96.03333333333332,110.8,0.5265555555555557,0.13677777777777778,0.2531111111111111,0.2433333333333333,92.83333333333331,110.70000000000002,102.64444444444445,0.5077777777777777,0.15433333333333335,0.26411111111111124,0.20511111111111105,89.44444444444444,104.3111111111112,110.20000000000002,-380.0,-7.5,-1.0
CLE,0,18,105,91,1,20141205,TOR,0.542,0.122,0.366,0.16699999999999998,88.7,118.4,102.6,0.453,0.10400000000000001,0.298,0.151,88.7,102.6,118.4,0.5463333333333334,0.14566666666666664,0.19366666666666665,0.30866666666666664,93.0333333333333,111.10000000000002,104.49999999999996,0.5596666666666664,0.09099999999999996,0.2996666666666668,0.2343333333333334,91.90000000000002,127.66666666666669,119.63333333333334,0.5091111111111112,0.1426666666666667,0.23655555555555555,0.2643333333333333,92.06666666666666,107.2666666666667,102.61111111111114,0.5355555555555556,0.1037777777777778,0.2791111111111111,0.2580000000000002,92.87777777777777,121.39999999999992,109.85555555555555,155.0,4.0,1.0
CLE,0,19,110,88,1,20141208,BRK,0.528,0.115,0.465,0.16699999999999998,89.2,123.4,98.7,0.469,0.11800000000000001,0.222,0.14800000000000002,89.2,98.7,123.4,0.5366666666666666,0.15666666666666665,0.2443333333333333,0.279,92.5333333333333,110.2666666666667,102.86666666666665,0.4423333333333332,0.12633333333333338,0.2686666666666667,0.1466666666666667,89.10000000000002,97.5,102.96666666666664,0.5144444444444445,0.14022222222222222,0.2515555555555556,0.256111111111111,91.4777777777778,108.95555555555558,101.4777777777778,0.4654444444444447,0.14122222222222225,0.23222222222222225,0.21277777777777784,89.94444444444444,98.66666666666666,104.91111111111107,-355.0,-7.5,1.0
CLE,1,20,105,101,1,20141209,TOR,0.551,0.111,0.34299999999999997,0.228,84.1,124.9,120.1,0.555,0.14800000000000002,0.387,0.122,84.1,120.1,124.9,0.521,0.13666666666666666,0.3326666666666667,0.21133333333333326,89.46666666666663,113.7666666666667,99.16666666666664,0.5536666666666664,0.1083333333333333,0.2586666666666669,0.22533333333333336,88.46666666666665,119.03333333333336,115.33333333333336,0.5188888888888891,0.136,0.2767777777777778,0.2626666666666665,91.36666666666667,111.58888888888893,101.12222222222223,0.5236666666666667,0.10477777777777783,0.2721111111111111,0.2642222222222224,92.73333333333332,118.22222222222211,113.44444444444444,-265.0,-5.5,-1.0
CLE,0,21,94,103,0,20141211,OKC,0.418,0.125,0.3,0.271,93.7,100.3,109.9,0.477,0.102,0.25,0.23,93.7,109.9,100.3,0.5403333333333333,0.11599999999999999,0.3913333333333333,0.18733333333333327,87.3333333333333,122.23333333333336,107.13333333333333,0.521,0.15566666666666665,0.313,0.2723333333333333,94.46666666666664,110.33333333333336,100.9333333333334,0.5356666666666668,0.12811111111111112,0.2921111111111111,0.26133333333333325,90.35555555555555,116.16666666666669,103.61111111111114,0.4956666666666666,0.13544444444444442,0.3018888888888889,0.21688888888888885,92.64444444444445,107.78888888888883,102.06666666666663,120.0,2.5,-1.0
CLE,0,22,114,119,0,20141212,NOP,0.539,0.057,0.25,0.202,90.9,125.5,131.0,0.633,0.07200000000000001,0.171,0.241,90.9,131.0,125.5,0.4990000000000001,0.11699999999999999,0.36933333333333335,0.2220000000000001,88.99999999999996,116.2,109.56666666666663,0.5283333333333334,0.11666666666666665,0.3276666666666666,0.199,90.63333333333334,115.93333333333332,107.59999999999997,0.5320000000000003,0.12411111111111113,0.2924444444444444,0.264,90.14444444444445,116.50000000000004,103.03333333333336,0.478111111111111,0.11600000000000005,0.29999999999999993,0.1975555555555556,91.15555555555555,106.35555555555555,111.05555555555551,115.0,2.0,-1.0
CLE,1,23,97,88,1,20141215,CHO,0.512,0.1,0.2,0.145,91.4,106.2,96.3,0.488,0.10099999999999999,0.125,0.084,91.4,96.3,106.2,0.5026666666666667,0.09766666666666668,0.2976666666666667,0.2336666666666667,89.56666666666662,116.90000000000002,120.33333333333331,0.4423333333333333,0.08966666666666669,0.19499999999999992,0.2276666666666665,92.03333333333336,98.39999999999992,107.4333333333333,0.5301111111111113,0.11744444444444445,0.28600000000000003,0.2644444444444444,90.45555555555555,117.07777777777781,108.25555555555556,0.43966666666666665,0.08033333333333338,0.1951111111111112,0.21322222222222226,92.5,100.24444444444448,111.80000000000004,-620.0,-10.0,-1.0
CLE,1,24,98,127,0,20141217,ATL,0.5,0.081,0.22699999999999998,0.195,86.4,113.4,146.9,0.75,0.098,0.207,0.171,86.4,146.9,113.4,0.4896666666666666,0.094,0.25,0.20600000000000004,91.99999999999996,110.66666666666669,112.39999999999998,0.4563333333333334,0.10133333333333333,0.154,0.225,92.49999999999996,100.59999999999997,96.3333333333333,0.5254444444444446,0.11855555555555555,0.2783333333333333,0.234,90.78888888888888,114.66666666666669,108.01111111111112,0.5128888888888891,0.12299999999999996,0.1747777777777778,0.1981111111111112,93.95555555555555,106.04444444444445,95.08888888888893,-230.0,-5.5,-1.0
