,Date,ML Odds,Team
0,20181017,220,MEM
1,20181017,-260,IND
2,20181017,-130,MIL
3,20181017,110,CHO
4,20181017,-145,MIA
5,20181017,125,ORL
6,20181017,170,BRK
7,20181017,-200,DET
8,20181017,135,ATL
9,20181017,-155,NYK
10,20181017,600,CLE
11,20181017,-900,TOR
12,20181017,255,NOP
13,20181017,-310,HOU
14,20181017,130,MIN
15,20181017,-150,SAS
16,20181017,-350,UTA
17,20181017,290,SAC
18,20181017,-102,DAL
19,20181017,-118,PHO
20,20181017,-110,DEN
21,20181017,-110,LAC
22,20181019,-130,CHO
23,20181019,110,ORL
24,20181019,120,NYK
25,20181019,-140,BRK
26,20181019,490,SAC
27,20181019,-680,NOP
28,20181019,135,BOS
29,20181019,-155,TOR
30,20181019,305,CLE
31,20181019,-365,MIN
32,20181019,275,ATL
33,20181019,-335,MEM
34,20181019,145,IND
35,20181019,-165,MIL
36,20181019,-130,GSW
37,20181019,110,UTA
38,20181019,103,OKC
39,20181019,-123,LAC
40,20181021,220,ATL
41,20181021,-260,CLE
42,20181021,475,SAC
43,20181021,-735,OKC
44,20181021,-155,GSW
45,20181021,135,DEN
46,20181021,-145,HOU
47,20181021,125,LAC
48,20181024,130,BRK
49,20181024,-150,CLE
50,20181024,-120,DAL
51,20181024,100,ATL
52,20181024,290,NYK
53,20181024,-350,MIA
54,20181024,305,MIN
55,20181024,-335,TOR
56,20181024,-150,CHO
57,20181024,130,CHI
58,20181024,120,UTA
59,20181024,-140,HOU
60,20181024,120,IND
61,20181024,-140,SAS
62,20181024,205,PHI
63,20181024,-245,MIL
64,20181024,-140,LAL
65,20181024,120,PHO
66,20181024,-155,MEM
67,20181024,135,SAC
68,20181024,450,WAS
69,20181024,-600,GSW
70,20181025,250,CLE
71,20181025,-300,DET
72,20181025,-160,POR
73,20181025,140,ORL
74,20181025,100,BOS
75,20181025,-120,OKC
76,20181025,-175,DEN
77,20181025,155,LAL
78,20181027,-145,BOS
79,20181027,135,DET
80,20181027,-113,UTA
81,20181027,103,NOP
82,20181027,190,CHO
83,20181027,-230,PHI
84,20181027,175,CHI
85,20181027,-190,ATL
86,20181027,-290,IND
87,20181027,245,CLE
88,20181027,105,POR
89,20181027,-125,MIA
90,20181027,325,PHO
91,20181027,-400,MEM
92,20181027,105,LAL
93,20181027,-125,SAS
94,20181027,335,ORL
95,20181027,-420,MIL
96,20181030,150,ATL
97,20181030,-170,CLE
98,20181030,160,MIA
99,20181030,-185,CHO
100,20181030,160,SAC
101,20181030,-185,ORL
102,20181030,320,DET
103,20181030,-390,BOS
104,20181030,225,PHI
105,20181030,-265,TOR
106,20181030,125,POR
107,20181030,-145,HOU
108,20181030,125,LAC
109,20181030,-145,OKC
110,20181030,110,WAS
111,20181030,-130,MEM
112,20181101,100,OKC
113,20181101,-120,CHO
114,20181101,160,LAC
115,20181101,-185,PHI
116,20181101,-235,DEN
117,20181101,195,CLE
118,20181101,-125,SAC
119,20181101,105,ATL
120,20181101,125,MIL
121,20181101,-155,BOS
122,20181101,130,NOP
123,20181101,-160,POR
124,20181103,260,DET
125,20181103,-320,PHI
126,20181103,-125,BOS
127,20181103,105,IND
128,20181103,380,CLE
129,20181103,-475,CHO
130,20181103,-240,MIA
131,20181103,200,ATL
132,20181103,-340,HOU
133,20181103,280,CHI
134,20181103,145,NOP
135,20181103,-165,SAS
136,20181103,160,UTA
137,20181103,-185,DEN
138,20181103,140,LAL
139,20181103,-160,POR
140,20181105,-103,HOU
141,20181105,-117,IND
142,20181105,165,MIA
143,20181105,-190,DET
144,20181105,130,CLE
145,20181105,-150,ORL
146,20181105,130,CHI
147,20181105,-150,NYK
148,20181105,160,NOP
149,20181105,-185,OKC
150,20181105,120,BOS
151,20181105,-140,DEN
152,20181105,-117,TOR
