date,team,opponent,home_game,team_q1,team_q2,team_q3,team_q4,team_OT,team_final,team_pace,team_efg,team_tov,team_orb,team_ftr,team_ortg,team_drtg,opponent_q1,opponent_q2,opponent_q3,opponent_q4,opponent_OT,opponent_final,opponent_pace,opponent_efg,opponent_tov,opponent_orb,opponent_ftr,opponent_ortg,opponent_drtg,rest,b2b,q1_margin,h1_margin,margin,seven_game_pace,seven_game_efg,seven_game_tov,seven_game_orb,seven_game_ftr,seven_game_ortg,seven_game_drtg,opponent_seven_game_efg,opponent_seven_game_tov,opponent_seven_game_orb,opponent_seven_game_ftr,opponent_seven_game_pace,opponent_seven_game_ortg,opponent_seven_game_drtg,opponent_rest,opponent_b2b
2014-10-30,CLE,NYK,1.0,25.0,19.0,20.0,26.0,0.0,90.0,83.1,52.1,19.4,29.7,24.3,108.3,114.3,18.0,24.0,25.0,28.0,0.0,95.0,83.1,57.99999999999999,16.3,29.0,21.7,114.3,108.3,,0,7.0,2.0,-5.0,,,,,,,,,,,,,,,0.0,1
2014-10-31,CLE,CHI,0.0,28.0,30.0,20.0,20.0,16.0,114.0,91.5,40.9,7.1,39.2,27.900000000000002,112.8,106.9,27.0,25.0,17.0,29.0,10.0,108.0,91.5,52.800000000000004,16.3,25.6,14.400000000000002,106.9,112.8,0.0,1,1.0,6.0,6.0,,,,,,,,,,,,,,,1.0,0
2014-11-04,CLE,POR,0.0,34.0,16.0,19.0,13.0,0.0,82.0,88.1,41.8,13.3,25.0,12.9,93.0,114.6,31.0,24.0,21.0,25.0,0.0,101.0,88.1,54.7,11.3,24.3,25.3,114.6,93.0,3.0,0,3.0,-5.0,-19.0,,,,,,,,,,,,,,,1.0,0
2014-11-05,CLE,UTA,0.0,23.0,25.0,27.0,25.0,0.0,100.0,87.1,45.800000000000004,11.8,20.0,47.199999999999996,114.9,117.2,32.0,27.0,17.0,26.0,0.0,102.0,87.1,55.2,12.2,36.1,22.1,117.2,114.9,0.0,1,-9.0,-11.0,-2.0,,,,,,,,,,,,,,,1.0,0
2014-11-07,CLE,DEN,0.0,38.0,20.0,27.0,25.0,0.0,110.0,96.7,51.2,7.5,15.0,28.6,113.8,104.5,20.0,25.0,26.0,30.0,0.0,101.0,96.7,53.5,12.4,18.2,11.799999999999999,104.5,113.8,1.0,0,18.0,13.0,9.0,,,,,,,,,,,,,,,1.0,0
2014-11-10,CLE,NOP,1.0,24.0,27.0,34.0,33.0,0.0,118.0,88.8,57.4,8.7,31.6,30.9,132.9,125.0,28.0,28.0,23.0,32.0,0.0,111.0,88.8,50.5,4.7,29.8,18.3,125.0,132.9,2.0,0,-4.0,-5.0,7.0,,,,,,,,,,,,,,,1.0,0
2014-11-14,CLE,BOS,0.0,25.0,34.0,25.0,38.0,0.0,122.0,102.1,55.3,9.8,20.5,32.9,119.5,118.5,31.0,28.0,42.0,20.0,0.0,121.0,102.1,57.99999999999999,12.5,20.0,21.600000000000005,118.5,119.5,3.0,0,-6.0,0.0,1.0,,,,,,,,51.871428571428574,12.642857142857142,110.50000000000001,16.314285714285713,94.60000000000001,110.50000000000001,112.61428571428573,1.0,0
2014-11-15,CLE,ATL,1.0,41.0,30.0,30.0,26.0,0.0,127.0,97.4,65.0,12.0,31.6,11.1,130.4,96.5,25.0,18.0,26.0,25.0,0.0,94.0,97.4,46.1,15.8,23.9,12.2,96.5,130.4,0.0,1,16.0,28.0,33.0,91.05714285714285,49.214285714285715,11.085714285714285,25.857142857142858,29.242857142857144,113.6,114.42857142857143,52.371428571428574,13.371428571428572,109.38571428571427,25.914285714285715,91.5,109.38571428571427,104.25714285714287,0.0,1
2014-11-17,CLE,DEN,1.0,26.0,26.0,23.0,22.0,0.0,97.0,94.0,49.4,14.4,23.1,24.099999999999998,103.2,112.8,24.0,29.0,28.0,25.0,0.0,106.0,94.0,55.3,14.1,21.4,14.099999999999998,112.8,103.2,1.0,0,2.0,-1.0,-9.0,93.1,51.05714285714286,10.028571428571427,26.12857142857143,27.357142857142858,116.75714285714285,111.88571428571429,48.08571428571428,11.885714285714284,107.0,23.5,97.38571428571427,107.0,116.08571428571427,0.0,1
2014-11-19,CLE,SAS,1.0,20.0,27.0,22.0,21.0,0.0,90.0,90.2,48.8,15.3,23.8,10.8,99.7,101.9,23.0,21.0,28.0,20.0,0.0,92.0,90.2,50.7,15.0,26.3,23.0,101.9,99.7,1.0,0,-3.0,3.0,-2.0,93.45714285714284,52.271428571428565,11.071428571428571,23.82857142857143,26.814285714285713,115.38571428571429,112.72857142857143,46.357142857142854,11.957142857142856,101.60000000000001,21.000000000000004,93.67142857142858,101.60000000000001,96.47142857142858,1.0,0
2014-11-21,CLE,WAS,0.0,21.0,21.0,23.0,13.0,0.0,78.0,93.2,40.0,18.2,20.5,24.0,83.7,97.7,26.0,29.0,25.0,11.0,0.0,91.0,93.2,51.2,16.2,23.8,6.0,97.7,83.7,1.0,0,-5.0,-13.0,-13.0,93.75714285714285,53.271428571428565,11.357142857142858,23.657142857142862,26.514285714285712,116.34285714285716,110.91428571428571,47.74285714285713,11.542857142857143,103.91428571428571,21.114285714285717,92.52857142857138,103.91428571428571,102.11428571428573,1.0,0
2014-11-22,CLE,TOR,1.0,34.0,20.0,17.0,22.0,0.0,93.0,95.6,45.1,16.1,29.7,24.7,97.3,115.1,21.0,35.0,29.0,25.0,0.0,110.0,95.6,45.0,7.5,18.6,47.5,115.1,97.3,0.0,1,13.0,-2.0,-17.0,94.62857142857142,52.442857142857136,12.271428571428572,23.72857142857143,23.2,111.88571428571431,108.12857142857142,53.41428571428572,12.14285714285714,115.57142857142854,24.35714285714286,92.95714285714284,115.57142857142854,98.41428571428571,0.0,1
2014-11-24,CLE,ORL,1.0,26.0,30.0,25.0,25.0,0.0,106.0,88.1,55.60000000000001,11.7,30.8,19.8,120.3,84.0,16.0,22.0,20.0,16.0,0.0,74.0,88.1,39.4,16.4,28.9,13.8,84.0,120.3,1.0,0,10.0,18.0,32.0,94.47142857142856,51.57142857142857,13.5,25.82857142857143,22.642857142857142,109.52857142857145,109.64285714285714,50.62857142857141,12.042857142857141,107.57142857142857,23.042857142857144,91.04285714285712,107.57142857142857,107.47142857142855,1.0,0
2014-11-26,CLE,WAS,1.0,31.0,27.0,23.0,32.0,0.0,113.0,88.4,55.39999999999999,9.0,26.9,41.9,127.9,98.5,18.0,28.0,21.0,20.0,0.0,87.0,88.4,50.0,18.2,21.9,22.5,98.5,127.9,1.0,0,13.0,12.0,26.0,94.37142857142858,51.314285714285724,13.928571428571429,25.71428571428572,21.057142857142857,107.72857142857144,103.78571428571429,50.157142857142844,13.1,107.38571428571431,19.1,94.14285714285711,107.38571428571431,102.34285714285717,0.0,1
2014-11-29,CLE,IND,1.0,29.0,23.0,35.0,22.0,0.0,109.0,90.2,57.10000000000001,8.9,21.4,25.6,120.9,107.5,21.0,28.0,22.0,26.0,0.0,97.0,90.2,43.3,6.5,30.0,22.5,107.5,120.9,2.0,0,8.0,3.0,12.0,92.41428571428571,51.32857142857143,13.814285714285715,26.628571428571433,22.342857142857145,108.92857142857144,100.92857142857143,48.42857142857143,11.785714285714286,104.37142857142855,18.45714285714286,91.1,104.37142857142855,106.44285714285715,0.0,1
2014-12-02,CLE,MIL,1.0,30.0,22.0,27.0,32.0,0.0,111.0,98.4,57.49999999999999,17.5,20.0,37.0,112.9,109.8,23.0,31.0,25.0,29.0,0.0,108.0,98.4,52.7,11.7,26.7,12.0,109.8,112.9,2.0,0,7.0,-2.0,3.0,91.38571428571429,50.2,13.371428571428572,25.171428571428578,24.414285714285715,107.57142857142858,102.5,48.528571428571425,13.257142857142856,106.51428571428573,23.942857142857147,91.64285714285712,106.51428571428573,109.45714285714288,2.0,0
2014-12-04,CLE,NYK,0.0,25.0,25.0,18.0,22.0,0.0,90.0,90.5,49.3,17.3,16.7,30.0,99.5,96.2,24.0,29.0,20.0,14.0,0.0,87.0,90.5,46.6,18.8,38.6,5.7,96.2,99.5,1.0,0,1.0,-3.0,3.0,92.01428571428572,51.35714285714287,13.814285714285715,24.728571428571435,26.25714285714286,108.95714285714287,102.07142857142857,48.17142857142857,16.042857142857144,99.32857142857142,19.928571428571438,88.87142857142858,99.32857142857142,108.62857142857145,1.0,0
2014-12-05,CLE,TOR,0.0,30.0,21.0,25.0,29.0,0.0,105.0,88.7,54.2,12.2,36.6,16.7,118.4,102.6,21.0,23.0,20.0,27.0,0.0,91.0,88.7,45.300000000000004,10.4,29.8,15.1,102.6,118.4,0.0,1,9.0,7.0,14.0,92.05714285714285,51.42857142857144,14.1,23.71428571428572,29.0,108.92857142857143,101.25714285714287,52.828571428571436,10.128571428571425,121.1857142857143,28.11428571428571,93.74285714285713,121.1857142857143,113.49999999999999,1.0,0
2014-12-08,CLE,BRK,0.0,22.0,28.0,35.0,25.0,0.0,110.0,89.2,52.800000000000004,11.5,46.5,16.7,123.4,98.7,25.0,24.0,18.0,21.0,0.0,88.0,89.2,46.9,11.8,22.2,14.800000000000002,98.7,123.4,2.0,0,-3.0,1.0,22.0,91.41428571428571,53.45714285714286,13.242857142857144,26.014285714285716,27.957142857142856,113.88571428571427,101.95714285714287,45.471428571428554,14.042857142857141,97.5285714285714,20.828571428571433,91.5857142857143,97.5285714285714,102.97142857142858,2.0,0
2014-12-09,CLE,TOR,1.0,26.0,29.0,26.0,24.0,0.0,105.0,84.1,55.1,11.1,34.3,22.8,124.9,120.1,33.0,30.0,25.0,13.0,0.0,101.0,84.1,55.50000000000001,14.8,38.7,12.2,120.1,124.9,0.0,1,-7.0,-8.0,4.0,90.5,54.557142857142864,12.585714285714285,28.414285714285718,26.814285714285713,117.61428571428571,99.61428571428573,54.10000000000001,10.814285714285713,120.0857142857143,22.657142857142855,91.85714285714286,120.0857142857143,117.08571428571427,0.0,1
2014-12-11,CLE,OKC,0.0,26.0,21.0,19.0,28.0,0.0,94.0,93.7,41.8,12.5,30.0,27.1,100.3,109.9,18.0,29.0,31.0,25.0,0.0,103.0,93.7,47.699999999999996,10.2,25.0,23.0,109.9,100.3,1.0,0,8.0,0.0,-9.0,89.92857142857143,54.48571428571429,12.499999999999998,28.914285714285718,27.24285714285714,118.27142857142857,104.77142857142859,49.58571428571429,14.242857142857144,106.7142857142857,22.61428571428572,94.5,106.7142857142857,97.87142857142858,1.0,0
2014-12-12,CLE,NOP,0.0,33.0,26.0,17.0,38.0,0.0,114.0,90.9,53.900000000000006,5.7,25.0,20.200000000000003,125.5,131.0,33.0,31.0,25.0,30.0,0.0,119.0,90.9,63.3,7.2,17.1,24.099999999999998,131.0,125.5,0.0,1,0.0,-5.0,-5.0,90.6857142857143,52.54285714285715,12.999999999999998,29.35714285714286,25.128571428571426,114.32857142857142,106.4,48.885714285714286,11.928571428571429,107.39999999999999,19.857142857142854,92.15714285714284,107.39999999999999,110.34285714285714,1.0,0
2014-12-15,CLE,CHO,1.0,34.0,20.0,26.0,17.0,0.0,97.0,91.4,51.2,10.0,20.0,14.499999999999998,106.2,96.3,17.0,28.0,23.0,20.0,0.0,88.0,91.4,48.8,10.1,12.5,8.4,96.3,106.2,2.0,0,17.0,9.0,9.0,90.78571428571429,52.08571428571429,12.542857142857141,29.871428571428574,24.357142857142854,114.98571428571428,109.75714285714287,43.814285714285724,8.785714285714283,99.57142857142857,20.571428571428577,92.61428571428571,99.57142857142857,109.85714285714289,1.0,0
