date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2019-10-22,NOP,30.0,31.0,25.0,31.0,5.0,122.0,TOR,27.0,29.0,32.0,29.0,13.0,130.0
2019-10-22,LAL,25.0,29.0,31.0,17.0,0.0,102.0,LAC,22.0,40.0,23.0,27.0,0.0,112.0
2019-10-23,DET,27.0,27.0,29.0,36.0,0.0,119.0,IND,24.0,31.0,31.0,24.0,0.0,110.0
2019-10-23,SAC,29.0,30.0,17.0,19.0,0.0,95.0,PHO,25.0,29.0,32.0,38.0,0.0,124.0
2019-10-23,CLE,24.0,17.0,24.0,20.0,0.0,85.0,ORL,28.0,27.0,16.0,23.0,0.0,94.0
2019-10-23,NYK,15.0,36.0,33.0,27.0,0.0,111.0,SAS,22.0,37.0,24.0,37.0,0.0,120.0
2019-10-23,BOS,25.0,23.0,20.0,25.0,0.0,93.0,PHI,20.0,29.0,28.0,30.0,0.0,107.0
2019-10-23,CHI,28.0,27.0,40.0,30.0,0.0,125.0,CHO,37.0,26.0,33.0,30.0,0.0,126.0
2019-10-23,WAS,25.0,23.0,20.0,32.0,0.0,100.0,DAL,24.0,38.0,29.0,17.0,0.0,108.0
2019-10-23,MEM,32.0,28.0,24.0,17.0,0.0,101.0,MIA,24.0,30.0,29.0,37.0,0.0,120.0
2019-10-23,DEN,24.0,30.0,19.0,35.0,0.0,108.0,POR,27.0,23.0,24.0,26.0,0.0,100.0
2019-10-23,MIN,33.0,35.0,20.0,27.0,12.0,127.0,BRK,22.0,34.0,37.0,22.0,11.0,126.0
2019-10-23,OKC,12.0,34.0,28.0,21.0,0.0,95.0,UTA,23.0,26.0,19.0,32.0,0.0,100.0
2019-10-24,MIL,23.0,27.0,28.0,39.0,0.0,117.0,HOU,30.0,36.0,21.0,24.0,0.0,111.0
2019-10-24,ATL,38.0,22.0,31.0,26.0,0.0,117.0,DET,32.0,31.0,18.0,19.0,0.0,100.0
2019-10-24,LAC,35.0,30.0,46.0,30.0,0.0,141.0,GSW,29.0,25.0,33.0,35.0,0.0,122.0
2019-10-25,TOR,21.0,28.0,33.0,24.0,0.0,106.0,BOS,22.0,28.0,26.0,36.0,0.0,112.0
2019-10-25,UTA,17.0,20.0,18.0,31.0,0.0,86.0,LAL,24.0,19.0,31.0,21.0,0.0,95.0
2019-10-25,DAL,27.0,45.0,23.0,28.0,0.0,123.0,NOP,41.0,23.0,29.0,23.0,0.0,116.0
2019-10-25,POR,25.0,32.0,37.0,28.0,0.0,122.0,SAC,27.0,30.0,27.0,28.0,0.0,112.0
2019-10-25,PHO,21.0,24.0,17.0,33.0,12.0,107.0,DEN,15.0,24.0,25.0,31.0,13.0,108.0
2019-10-25,WAS,28.0,24.0,26.0,19.0,0.0,97.0,OKC,24.0,22.0,24.0,15.0,0.0,85.0
2019-10-25,NYK,23.0,28.0,32.0,26.0,0.0,109.0,BRK,32.0,32.0,30.0,19.0,0.0,113.0
2019-10-25,MIN,30.0,28.0,45.0,18.0,0.0,121.0,CHO,32.0,24.0,25.0,18.0,0.0,99.0
2019-10-25,CHI,25.0,22.0,32.0,31.0,0.0,110.0,MEM,29.0,31.0,21.0,21.0,0.0,102.0
2019-10-26,LAC,22.0,33.0,30.0,37.0,0.0,122.0,PHO,26.0,29.0,36.0,39.0,0.0,130.0
2019-10-26,ORL,26.0,24.0,25.0,24.0,0.0,99.0,ATL,23.0,29.0,25.0,26.0,0.0,103.0
