Date,Team1,At,Team2,Line1,Line2
10/22/19,New Orleans Pelicans,@,Toronto Raptors,5.25,-5.25
10/22/19,Los Angeles Clippers, ,Los Angeles Lakers,-1.25,1.25
10/23/19,Charlotte Hornets, ,Chicago Bulls,-0.5,0.5
10/23/19,Detroit Pistons,@,Indiana Pacers,3.5,-3.5
10/23/19,Cleveland Cavaliers,@,Orlando Magic,7.5,-7.5
10/23/19,Boston Celtics,@,Philadelphia 76ers,5.75,-5.75
10/23/19,Brooklyn Nets, ,Minnesota Timberwolves,-4.5,4.5
10/23/19,Memphis Grizzlies,@,Miami Heat,7.5,-7.5
10/23/19,New York Knicks,@,San Antonio Spurs,9.5,-9.5
10/23/19,Dallas Mavericks, ,Washington Wizards,-7.5,7.5
10/23/19,Oklahoma City Thunder,@,Utah Jazz,10.5,-10.5
10/23/19,Denver Nuggets,@,Portland Trail Blazers,1.5,-1.5
10/23/19,Phoenix Suns, ,Sacramento Kings,1.5,-1.5
10/24/19,Atlanta Hawks,@,Detroit Pistons,3.25,-3.25
10/24/19,Houston Rockets, ,Milwaukee Bucks,-1.5,1.5
10/24/19,Golden State Warriors, ,Los Angeles Clippers,-0.5,0.5
10/25/19,Boston Celtics, ,Toronto Raptors,-4.0,4.0
10/25/19,Charlotte Hornets, ,Minnesota Timberwolves,3.0,-3.0
10/25/19,Brooklyn Nets, ,New York Knicks,-7.5,7.5
10/25/19,Dallas Mavericks,@,New Orleans Pelicans,3.0,-3.0
10/25/19,Oklahoma City Thunder, ,Washington Wizards,-6.0,6.0
10/25/19,Chicago Bulls,@,Memphis Grizzlies,2.0,-2.0
10/25/19,Denver Nuggets, ,Phoenix Suns,-12.5,12.5
10/25/19,Portland Trail Blazers,@,Sacramento Kings,1.0,-1.0
10/25/19,Los Angeles Lakers, ,Utah Jazz,-3.5,3.5
12/25/19,Boston Celtics,@,Toronto Raptors,3.0,-3.0
12/25/19,Milwaukee Bucks,@,Philadelphia 76ers,3.0,-3.0
12/25/19,Golden State Warriors, ,Houston Rockets,-1.25,1.25
12/25/19,Denver Nuggets, ,New Orleans Pelicans,-8.75,8.75
