date,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
10/17/2017,BOS,19,19,33,28,0,99,CLE,29,25,18,30,0,102
10/20/2017,CLE,25,30,31,30,0,116,MIL,25,24,24,24,0,97
10/21/2017,ORL,36,20,32,26,0,114,CLE,18,27,20,28,0,93
10/24/2017,CHI,38,30,24,20,0,112,CLE,28,37,26,28,0,119
10/25/2017,CLE,23,29,21,34,0,107,BRK,26,29,29,28,0,112
10/28/2017,CLE,22,30,31,18,0,101,NOP,35,30,24,34,0,123
10/29/2017,NYK,29,33,30,22,0,114,CLE,19,35,21,20,0,95
11/1/2017,IND,30,32,30,32,0,124,CLE,28,33,24,22,0,107
11/3/2017,CLE,42,32,30,26,0,130,WAS,36,30,27,29,0,122
11/5/2017,ATL,37,17,37,26,0,117,CLE,28,17,33,37,0,115
11/7/2017,MIL,28,39,23,29,0,119,CLE,39,26,29,30,0,124
11/9/2017,CLE,25,42,26,20,0,113,HOU,36,29,35,17,0,117
11/11/2017,CLE,29,20,34,28,0,111,DAL,23,29,22,30,0,104
11/13/2017,CLE,25,13,23,43,0,104,NYK,22,29,25,25,0,101
11/15/2017,CLE,36,25,27,27,0,115,CHO,30,37,17,23,0,107
11/17/2017,LAC,27,29,25,24,8,113,CLE,24,32,22,27,13,118
11/20/2017,CLE,36,37,28,15,0,116,DET,23,23,16,26,0,88
11/22/2017,BRK,17,29,31,32,0,109,CLE,20,25,32,42,0,119
11/24/2017,CHO,28,29,25,17,0,99,CLE,27,27,29,17,0,100
11/27/2017,CLE,29,24,33,27,0,113,PHI,22,23,28,18,0,91
11/28/2017,MIA,24,25,25,23,0,97,CLE,35,40,18,15,0,108
11/30/2017,CLE,42,21,36,22,0,121,ATL,35,32,23,24,0,114
12/2/2017,MEM,32,20,30,29,0,111,CLE,28,38,27,23,0,116
12/4/2017,CLE,29,32,25,27,0,113,CHI,22,23,26,20,0,91
12/6/2017,SAC,22,35,21,17,0,95,CLE,19,29,25,28,0,101
12/8/2017,CLE,33,30,23,16,0,102,IND,32,25,32,17,0,106
12/9/2017,PHI,24,22,27,25,0,98,CLE,23,29,26,27,0,105
12/12/2017,ATL,31,17,29,37,0,114,CLE,31,31,32,29,0,123
12/14/2017,LAL,26,34,26,26,0,112,CLE,24,39,31,27,0,121
12/16/2017,UTA,24,24,25,27,0,100,CLE,23,28,29,29,0,109
12/17/2017,CLE,27,33,23,23,0,106,WAS,23,37,23,16,0,99
12/19/2017,CLE,34,24,25,33,0,116,MIL,30,39,29,21,0,119
12/21/2017,CHI,27,29,23,33,0,112,CLE,29,29,24,33,0,115
12/25/2017,CLE,28,16,23,25,0,92,GSW,24,22,25,28,0,99
12/27/2017,CLE,27,28,25,15,0,95,SAC,28,34,23,24,0,109
12/30/2017,CLE,32,21,16,32,0,101,UTA,22,26,28,28,0,104
1/2/2018,POR,28,28,31,23,0,110,CLE,28,25,38,36,0,127
1/3/2018,CLE,21,26,21,20,0,88,BOS,32,23,26,21,0,102
1/6/2018,CLE,31,36,40,24,0,131,ORL,30,34,23,40,0,127
1/8/2018,CLE,18,24,25,32,0,99,MIN,32,37,33,25,0,127
1/11/2018,CLE,24,16,32,27,0,99,TOR,30,35,35,33,0,133
1/12/2018,CLE,34,24,16,21,0,95,IND,12,32,32,21,0,97
1/15/2018,GSW,35,22,36,25,0,118,CLE,37,27,27,17,0,108
1/18/2018,ORL,20,27,33,23,0,103,CLE,36,31,17,20,0,104
1/20/2018,OKC,43,33,38,34,0,148,CLE,24,36,34,30,0,124
1/23/2018,CLE,29,26,26,21,0,102,SAS,25,38,26,25,0,114
1/26/2018,IND,31,29,20,28,0,108,CLE,38,35,24,18,0,115
1/28/2018,DET,28,33,26,17,0,104,CLE,33,25,32,31,0,121
1/30/2018,CLE,27,36,21,30,0,114,DET,33,26,30,36,0,125
1/31/2018,MIA,21,29,22,17,0,89,CLE,27,21,24,19,0,91
2/3/2018,HOU,32,33,32,23,0,120,CLE,20,19,30,19,0,88
2/6/2018,CLE,43,24,22,9,0,98,ORL,31,20,41,24,0,116
2/7/2018,MIN,29,37,33,30,9,138,CLE,31,33,37,28,11,140
2/9/2018,CLE,31,30,36,26,0,123,ATL,27,29,26,25,0,107
2/11/2018,CLE,31,33,31,26,0,121,BOS,32,20,22,25,0,99
2/13/2018,CLE,29,33,29,29,0,120,OKC,28,29,30,25,0,112
2/22/2018,WAS,22,35,25,28,0,110,CLE,31,23,25,24,0,103
2/23/2018,CLE,20,34,31,27,0,112,MEM,27,22,22,18,0,89
2/25/2018,SAS,25,25,26,34,0,110,CLE,20,33,21,20,0,94
2/27/2018,BRK,29,32,30,32,0,123,CLE,25,35,34,35,0,129
3/1/2018,PHI,32,27,18,31,0,108,CLE,29,27,15,26,0,97
3/3/2018,DEN,37,36,30,23,0,126,CLE,31,31,35,20,0,117
3/5/2018,DET,28,21,21,20,0,90,CLE,26,28,36,22,0,112
3/7/2018,CLE,38,32,19,24,0,113,DEN,23,35,29,21,0,108
3/9/2018,CLE,17,30,30,25,0,102,LAC,35,26,24,31,0,116
3/11/2018,CLE,29,31,22,31,0,113,LAL,33,32,33,29,0,127
3/13/2018,CLE,38,30,34,27,0,129,PHO,18,34,28,27,0,107
3/15/2018,CLE,29,25,23,28,0,105,POR,29,30,29,25,0,113
3/17/2018,CLE,32,37,16,29,0,114,CHI,31,21,29,28,0,109
3/19/2018,MIL,25,32,28,32,0,117,CLE,26,38,29,31,0,124
3/21/2018,TOR,38,41,20,30,0,129,CLE,42,22,34,34,0,132
3/23/2018,PHO,27,18,26,24,0,95,CLE,23,39,31,27,0,120
3/25/2018,CLE,28,32,27,34,0,121,BRK,30,32,27,25,0,114
3/27/2018,CLE,18,16,25,20,0,79,MIA,29,25,21,23,0,98
3/28/2018,CLE,22,42,31,23,0,118,CHO,26,28,24,27,0,105
3/30/2018,NOP,29,28,22,23,0,102,CLE,29,18,33,27,0,107
4/1/2018,DAL,25,22,30,10,0,87,CLE,18,30,25,25,0,98
4/3/2018,TOR,24,28,26,28,0,106,CLE,28,32,26,26,0,112
4/5/2018,WAS,26,28,36,25,0,115,CLE,39,20,23,37,0,119
4/6/2018,CLE,28,27,43,32,0,130,PHI,41,37,27,27,0,132
4/9/2018,CLE,26,35,29,33,0,123,NYK,25,24,28,32,0,109
4/11/2018,NYK,20,37,27,26,0,110,CLE,20,17,34,27,0,98
10/17/2017,BOS,19,19,33,28,0,99,CLE,29,25,18,30,0,102
10/18/2017,MIL,24,34,18,32,0,108,BOS,26,27,27,20,0,100
10/20/2017,BOS,24,22,23,33,0,102,PHI,21,29,22,20,0,92
10/24/2017,NYK,17,16,27,29,0,89,BOS,30,24,23,33,0,110
10/26/2017,BOS,28,15,29,24,0,96,MIL,23,21,25,20,0,89
10/28/2017,BOS,21,26,27,22,0,96,MIA,26,19,18,27,0,90
10/30/2017,SAS,26,23,18,27,0,94,BOS,30,24,26,28,0,108
11/1/2017,SAC,24,21,15,26,0,86,BOS,27,31,31,24,0,113
11/3/2017,BOS,18,19,30,34,0,101,OKC,31,24,16,23,0,94
11/5/2017,BOS,22,27,28,27,0,104,ORL,20,18,31,19,0,88
11/6/2017,BOS,26,28,28,28,0,110,ATL,25,29,21,32,0,107
11/8/2017,LAL,16,36,29,15,0,96,BOS,33,28,26,20,0,107
11/10/2017,CHO,26,31,19,11,0,87,BOS,11,30,23,26,0,90
11/12/2017,TOR,24,25,27,18,0,94,BOS,24,20,33,18,0,95
11/14/2017,BOS,30,22,28,29,0,109,BRK,21,31,19,31,0,102
11/16/2017,GSW,28,19,21,20,0,88,BOS,18,24,26,24,0,92
11/18/2017,BOS,20,24,36,30,0,110,ATL,35,15,27,22,0,99
11/20/2017,BOS,34,19,16,27,14,110,DAL,22,27,28,19,6,102
11/22/2017,BOS,16,25,22,35,0,98,MIA,27,27,25,25,0,104
11/24/2017,ORL,26,21,22,34,0,103,BOS,40,33,26,19,0,118
11/25/2017,BOS,27,18,37,26,0,108,IND,32,22,16,28,0,98
11/27/2017,DET,31,29,26,32,0,118,BOS,23,34,29,22,0,108
11/30/2017,PHI,22,22,27,26,0,97,BOS,28,26,22,32,0,108
12/2/2017,PHO,22,32,25,32,0,111,BOS,31,29,29,27,0,116
12/4/2017,MIL,26,23,32,19,0,100,BOS,34,28,26,23,0,111
12/6/2017,DAL,26,31,16,17,0,90,BOS,24,23,23,27,0,97
12/8/2017,BOS,31,24,27,20,0,102,SAS,26,30,21,28,0,105
12/10/2017,BOS,29,15,29,18,0,91,DET,21,16,22,22,0,81
12/11/2017,BOS,29,13,21,22,0,85,CHI,28,28,22,30,0,108
12/13/2017,DEN,31,28,33,26,0,118,BOS,30,38,29,27,0,124
12/15/2017,UTA,21,25,33,28,0,107,BOS,26,13,28,28,0,95
12/16/2017,BOS,31,17,23,31,0,102,MEM,12,28,33,20,0,93
12/18/2017,BOS,38,24,23,27,0,112,IND,21,26,31,33,0,111
12/20/2017,MIA,15,21,26,28,0,90,BOS,24,20,15,30,0,89
12/21/2017,BOS,15,25,28,25,0,93,NYK,25,19,24,34,0,102
12/23/2017,CHI,31,27,18,16,0,92,BOS,33,27,38,19,0,117
12/25/2017,WAS,30,22,28,31,0,111,BOS,24,26,26,27,0,103
12/27/2017,BOS,28,32,16,26,0,102,CHO,16,28,31,16,0,91
12/28/2017,HOU,32,30,16,20,0,98,BOS,12,26,31,30,0,99
12/31/2017,BRK,28,31,17,29,0,105,BOS,38,23,21,26,0,108
1/3/2018,CLE,21,26,21,20,0,88,BOS,32,23,26,21,0,102
1/5/2018,MIN,19,19,24,22,0,84,BOS,19,22,25,25,0,91
1/6/2018,BOS,16,23,25,23,0,87,BRK,22,19,20,24,0,85
1/11/2018,BOS,23,25,37,29,0,114,PHI,28,29,22,24,0,103
1/16/2018,NOP,32,26,29,17,12,116,BOS,25,23,32,24,9,113
1/18/2018,PHI,21,18,32,18,0,89,BOS,19,13,21,27,0,80
1/21/2018,ORL,28,30,32,13,0,103,BOS,29,30,12,24,0,95
1/23/2018,BOS,21,32,21,33,0,107,LAL,15,30,31,32,0,108
1/24/2018,BOS,25,37,29,22,0,113,LAC,22,33,22,25,0,102
1/27/2018,BOS,37,17,19,32,0,105,GSW,27,23,30,29,0,109
1/29/2018,BOS,32,24,24,31,0,111,DEN,21,24,37,28,0,110
1/31/2018,NYK,24,21,20,8,0,73,BOS,27,23,31,22,0,103
2/2/2018,ATL,32,23,20,35,0,110,BOS,26,27,41,25,0,119
2/4/2018,POR,26,28,19,23,0,96,BOS,19,19,31,28,0,97
2/6/2018,BOS,18,19,23,31,0,91,TOR,22,36,25,28,0,111
2/8/2018,BOS,26,23,26,23,12,110,WAS,27,24,19,28,6,104
2/9/2018,IND,30,29,17,21,0,97,BOS,16,22,34,19,0,91
2/11/2018,CLE,31,33,31,26,0,121,BOS,32,20,22,25,0,99
2/14/2018,LAC,34,27,32,36,0,129,BOS,25,32,34,28,0,119
2/23/2018,BOS,23,38,25,24,0,110,DET,28,21,28,21,0,98
2/24/2018,BOS,23,36,29,33,0,121,NYK,24,32,25,31,0,112
2/26/2018,MEM,24,17,28,29,0,98,BOS,33,34,19,23,0,109
2/28/2018,CHO,31,28,20,27,0,106,BOS,37,30,36,31,0,134
3/3/2018,BOS,32,32,25,31,0,120,HOU,30,28,28,37,0,123
3/5/2018,BOS,35,20,31,19,0,105,CHI,16,13,24,36,0,89
3/8/2018,BOS,35,25,26,31,0,117,MIN,28,18,28,35,0,109
3/11/2018,IND,24,16,34,25,0,99,BOS,25,25,20,27,0,97
3/14/2018,WAS,23,29,29,25,9,125,BOS,37,22,21,26,9,124
3/16/2018,BOS,25,23,27,17,0,92,ORL,16,15,21,31,0,83
3/18/2018,BOS,28,21,27,13,0,89,NOP,20,27,35,26,0,108
3/20/2018,OKC,26,22,27,24,0,99,BOS,18,27,28,27,0,100
3/23/2018,BOS,23,24,20,38,0,105,POR,26,26,25,23,0,100
3/25/2018,BOS,24,28,28,24,0,104,SAC,27,33,18,15,0,93
3/26/2018,BOS,31,17,29,25,0,102,PHO,15,30,20,29,0,94
3/28/2018,BOS,18,30,19,30,0,97,UTA,24,15,32,23,0,94
3/31/2018,TOR,33,22,29,15,0,99,BOS,31,22,29,28,0,110
4/3/2018,BOS,31,25,15,31,0,102,MIL,26,32,21,27,0,106
4/4/2018,BOS,20,13,20,25,0,78,TOR,14,29,24,29,0,96
4/6/2018,CHI,30,28,18,28,0,104,BOS,30,25,24,32,0,111
4/8/2018,ATL,24,25,27,36,0,112,BOS,31,27,24,24,0,106
4/10/2018,BOS,30,24,18,29,0,101,WAS,22,30,27,34,0,113
4/11/2018,BRK,22,21,27,27,0,97,BOS,27,26,30,27,0,110
10/18/2017,PHI,23,36,23,33,0,115,WAS,32,24,34,30,0,120
10/20/2017,DET,31,34,16,30,0,111,WAS,29,29,33,24,0,115
10/23/2017,WAS,29,27,22,31,0,109,DEN,29,26,22,27,0,104
10/25/2017,WAS,18,31,30,13,7,99,LAL,23,22,24,23,10,102
10/27/2017,WAS,34,33,30,20,0,117,GSW,27,26,34,33,0,120
10/29/2017,WAS,35,28,25,22,0,110,SAC,16,16,28,23,0,83
11/1/2017,PHO,15,37,35,35,0,122,WAS,32,32,26,26,0,116
11/3/2017,CLE,42,32,30,26,0,130,WAS,36,30,27,29,0,122
11/5/2017,WAS,32,30,22,23,0,107,TOR,17,29,30,20,0,96
11/7/2017,DAL,36,28,26,23,0,113,WAS,34,19,23,23,0,99
11/9/2017,LAL,34,22,21,18,0,95,WAS,37,32,22,20,0,111
11/11/2017,ATL,19,23,25,27,0,94,WAS,20,29,27,37,0,113
11/13/2017,SAC,32,19,20,21,0,92,WAS,25,32,29,24,0,110
11/15/2017,WAS,30,31,10,31,0,102,MIA,19,30,25,19,0,93
11/17/2017,MIA,26,24,16,25,0,91,WAS,17,12,28,31,0,88
11/19/2017,WAS,28,27,21,15,0,91,TOR,28,32,19,21,0,100
11/20/2017,WAS,27,20,26,26,0,99,MIL,19,27,20,22,0,88
11/22/2017,WAS,26,33,29,26,10,124,CHO,25,30,29,30,15,129
11/25/2017,POR,27,14,32,35,0,108,WAS,30,22,31,22,0,105
11/28/2017,WAS,23,20,25,24,0,92,MIN,30,21,20,18,0,89
11/29/2017,WAS,18,22,25,48,0,113,PHI,28,30,26,34,0,118
12/1/2017,DET,26,26,15,24,0,91,WAS,26,20,35,28,0,109
12/4/2017,WAS,15,15,22,17,0,69,UTA,29,35,24,28,0,116
12/5/2017,WAS,24,27,28,27,0,106,POR,22,15,29,26,0,92
12/7/2017,WAS,26,31,28,24,0,109,PHO,28,24,32,15,0,99
12/9/2017,WAS,27,22,32,31,0,112,LAC,30,32,23,28,0,113
12/12/2017,WAS,22,29,27,20,0,98,BRK,30,21,28,24,0,103
12/13/2017,MEM,12,17,28,30,0,87,WAS,22,19,19,33,0,93
12/15/2017,LAC,18,25,21,27,0,91,WAS,25,23,27,25,0,100
12/17/2017,CLE,27,33,23,23,0,106,WAS,23,37,23,16,0,99
12/19/2017,NOP,19,36,15,36,0,106,WAS,36,25,32,23,0,116
12/22/2017,WAS,23,20,18,23,0,84,BRK,26,27,35,31,0,119
12/23/2017,ORL,29,19,35,20,0,103,WAS,37,35,28,30,0,130
12/25/2017,WAS,30,22,28,31,0,111,BOS,24,26,26,27,0,103
12/27/2017,WAS,29,28,19,23,0,99,ATL,29,26,23,35,0,113
12/29/2017,HOU,23,25,30,25,0,103,WAS,27,32,28,34,0,121
12/31/2017,CHI,38,25,26,21,0,110,WAS,30,29,24,31,0,114
1/3/2018,NYK,32,31,14,26,0,103,WAS,33,31,26,31,0,121
1/5/2018,WAS,33,25,29,15,0,102,MEM,24,26,22,28,0,100
1/6/2018,MIL,24,29,29,28,0,110,WAS,32,21,32,18,0,103
1/10/2018,UTA,25,21,37,24,0,107,WAS,32,18,27,27,0,104
1/12/2018,ORL,33,30,35,21,0,119,WAS,34,31,33,27,0,125
1/13/2018,BRK,18,21,35,33,6,113,WAS,33,26,24,24,12,119
1/15/2018,MIL,28,25,25,26,0,104,WAS,30,21,21,23,0,95
1/17/2018,WAS,36,25,18,30,0,109,CHO,38,39,25,31,0,133
1/19/2018,WAS,19,27,45,31,0,122,DET,29,17,28,38,0,112
1/22/2018,WAS,22,15,17,21,0,75,DAL,22,31,18,27,0,98
1/25/2018,WAS,20,20,34,38,0,112,OKC,25,29,28,39,0,121
1/27/2018,WAS,27,34,31,37,0,129,ATL,18,27,26,33,0,104
1/30/2018,OKC,25,29,22,20,0,96,WAS,30,23,22,27,0,102
2/1/2018,TOR,34,28,25,32,0,119,WAS,27,28,33,34,0,122
2/3/2018,WAS,31,25,31,28,0,115,ORL,25,22,22,29,0,98
2/5/2018,WAS,28,30,28,25,0,111,IND,23,26,25,28,0,102
2/6/2018,WAS,20,35,29,18,0,102,PHI,37,28,29,21,0,115
