,Team,Spread,Date
0,WAS,-3.5,20141030
1,ORL,3.5,20141030
2,NYK,11.5,20141030
3,CLE,-11.5,20141030
4,DET,4.0,20141030
5,MIN,-4.0,20141030
6,UTA,10.0,20141030
7,DAL,-10.0,20141030
8,OKC,12.0,20141030
9,LAC,-12.0,20141030
10,MEM,-6.0,20141031
11,IND,6.0,20141031
12,CLE,4.0,20141031
13,CHI,-4.0,20141031
14,PHI,8.5,20141031
15,MIL,-8.5,20141031
16,POR,-5.5,20141031
17,SAC,5.5,20141031
18,SAS,-1.5,20141031
19,PHO,1.5,20141031
20,LAC,-11.0,20141031
21,LAL,11.0,20141031
22,MIL,3.5,20141104
23,IND,-3.5,20141104
24,OKC,10.5,20141104
25,TOR,-10.5,20141104
26,WAS,1.5,20141104
27,NYK,-1.5,20141104
28,HOU,1.5,20141104
29,MIA,-1.5,20141104
30,ORL,12.5,20141104
31,CHI,-12.5,20141104
32,CHO,3.5,20141104
33,NOP,-3.5,20141104
34,CLE,-2.5,20141104
35,POR,2.5,20141104
36,PHO,-6.0,20141104
37,LAL,6.0,20141104
38,ORL,3.0,20141105
39,PHI,-3.0,20141105
40,MIA,2.5,20141105
41,CHO,-2.5,20141105
42,TOR,1.0,20141105
43,BOS,-1.0,20141105
44,MIN,5.5,20141105
45,BRK,-5.5,20141105
46,NYK,4.0,20141105
47,DET,-4.0,20141105
48,IND,9.0,20141105
49,WAS,-9.0,20141105
50,CHI,-5.5,20141105
51,MIL,5.5,20141105
52,ATL,8.0,20141105
53,SAS,-8.0,20141105
54,MEM,-1.0,20141105
55,PHO,1.0,20141105
56,CLE,-5.0,20141105
57,UTA,5.0,20141105
58,DEN,2.5,20141105
59,SAC,-2.5,20141105
60,LAC,4.5,20141105
61,GSW,-4.5,20141105
62,ATL,1.5,20141107
63,CHO,-1.5,20141107
64,MIN,-2.5,20141107
65,ORL,2.5,20141107
66,CHI,-11.0,20141107
67,PHI,11.0,20141107
68,IND,4.0,20141107
69,BOS,-4.0,20141107
70,NYK,5.5,20141107
71,BRK,-5.5,20141107
72,MIL,4.5,20141107
73,DET,-4.5,20141107
74,WAS,4.0,20141107
75,TOR,-4.0,20141107
76,MEM,-7.0,20141107
77,OKC,7.0,20141107
78,SAC,4.5,20141107
79,PHO,-4.5,20141107
80,DAL,-2.5,20141107
81,UTA,2.5,20141107
82,CLE,-4.5,20141107
83,DEN,4.5,20141107
84,NOP,6.0,20141110
85,CLE,-6.0,20141110
86,UTA,2.0,20141110
87,IND,-2.0,20141110
88,ATL,-1.5,20141110
89,NYK,1.5,20141110
90,DET,9.5,20141110
91,CHI,-9.5,20141110
92,SAS,2.5,20141110
93,LAC,-2.5,20141110
94,MIL,3.0,20141114
95,ORL,-3.0,20141114
96,DEN,3.5,20141114
97,IND,-3.5,20141114
98,MIA,2.5,20141114
99,ATL,-2.5,20141114
100,UTA,3.5,20141114
101,NYK,-3.5,20141114
102,CLE,-5.5,20141114
103,BOS,5.5,20141114
104,MIN,7.0,20141114
105,NOP,-7.0,20141114
106,PHI,17.0,20141114
107,HOU,-17.0,20141114
108,DET,3.5,20141114
109,OKC,-3.5,20141114
110,CHO,5.0,20141114
111,PHO,-5.0,20141114
112,SAS,-7.5,20141114
113,LAL,7.5,20141114
114,ORL,9.0,20141115
115,WAS,-9.0,20141115
116,UTA,10.5,20141115
117,TOR,-10.5,20141115
118,ATL,7.0,20141115
119,CLE,-7.0,20141115
120,IND,9.5,20141115
121,CHI,-9.5,20141115
122,DET,10.0,20141115
123,MEM,-10.0,20141115
124,MIN,11.0,20141115
125,DAL,-11.0,20141115
126,SAS,-2.0,20141115
127,SAC,2.0,20141115
