Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff
CLE,1,1,90,95,0,20141030,NYK,0.521,0.194,0.297,0.243,83.1,108.3,114.3,0.58,0.163,0.29,0.217,83.1,114.3,108.3,,,,,,,,,,,,,,
CLE,0,2,114,108,1,20141031,CHI,0.409,0.071,0.392,0.27899999999999997,91.5,112.8,106.9,0.528,0.163,0.256,0.14400000000000002,91.5,106.9,112.8,,,,,,,,,,,,,,
CLE,0,3,82,101,0,20141104,POR,0.418,0.133,0.25,0.129,88.1,93.0,114.6,0.547,0.113,0.243,0.253,88.1,114.6,93.0,,,,,,,,0.4716666666666667,0.11833333333333333,0.28833333333333333,0.166,91.8,105.76666666666667,104.46666666666665
CLE,0,4,100,102,0,20141105,UTA,0.45799999999999996,0.118,0.2,0.47200000000000003,87.1,114.9,117.2,0.552,0.122,0.361,0.221,87.1,117.2,114.9,0.4493333333333333,0.13266666666666668,0.313,0.217,87.56666666666666,104.7,111.93333333333332,0.5223333333333334,0.14200000000000002,0.2913333333333334,0.249,93.36666666666666,114.46666666666665,114.13333333333333
CLE,0,5,110,101,1,20141107,DEN,0.512,0.075,0.15,0.28600000000000003,96.7,113.8,104.5,0.535,0.124,0.182,0.11800000000000001,96.7,104.5,113.8,0.42833333333333323,0.10733333333333334,0.2806666666666667,0.29333333333333333,88.89999999999998,106.89999999999999,112.89999999999998,0.467,0.137,0.239,0.26433333333333336,98.5,103.10000000000001,115.96666666666665
CLE,1,6,118,111,1,20141110,NOP,0.574,0.087,0.316,0.309,88.8,132.9,125.0,0.505,0.047,0.298,0.183,88.8,125.0,132.9,0.46266666666666656,0.10866666666666668,0.20000000000000004,0.2956666666666667,90.63333333333331,107.23333333333333,112.09999999999998,0.45933333333333337,0.11133333333333333,0.22866666666666666,0.19899999999999998,91.46666666666668,102.56666666666668,103.13333333333331
CLE,0,7,122,121,1,20141114,BOS,0.5529999999999999,0.098,0.205,0.32899999999999996,102.1,119.5,118.5,0.58,0.125,0.2,0.21600000000000003,102.1,118.5,119.5,0.5146666666666666,0.09333333333333334,0.22200000000000006,0.35566666666666663,90.86666666666663,120.53333333333335,115.56666666666665,0.5246666666666666,0.10533333333333332,0.20799999999999996,0.161,90.63333333333331,110.66666666666664,113.43333333333338
CLE,1,8,127,94,1,20141115,ATL,0.65,0.12,0.316,0.111,97.4,130.4,96.5,0.461,0.158,0.239,0.122,97.4,96.5,130.4,0.5463333333333332,0.08666666666666667,0.22366666666666668,0.308,95.86666666666663,122.06666666666668,115.99999999999999,0.5520000000000002,0.154,0.236,0.268,90.09999999999998,112.66666666666664,105.3
CLE,1,9,97,106,0,20141117,DEN,0.494,0.14400000000000002,0.231,0.24100000000000002,94.0,103.2,112.8,0.5529999999999999,0.141,0.214,0.141,94.0,112.8,103.2,0.5923333333333333,0.10166666666666667,0.279,0.24966666666666662,96.09999999999997,127.60000000000001,113.33333333333331,0.49599999999999994,0.11066666666666665,0.2743333333333333,0.21866666666666668,95.73333333333335,109.43333333333335,113.03333333333335
CLE,1,10,90,92,0,20141119,SAS,0.488,0.153,0.238,0.10800000000000001,90.2,99.7,101.9,0.507,0.15,0.263,0.23,90.2,101.9,99.7,0.5656666666666667,0.12066666666666666,0.25066666666666665,0.22699999999999995,97.8333333333333,117.7,109.26666666666665,0.4833333333333332,0.13233333333333328,0.16266666666666663,0.21166666666666667,94.0,100.7666666666667,88.56666666666666
CLE,0,11,78,91,0,20141121,WAS,0.4,0.182,0.205,0.24,93.2,83.7,97.7,0.512,0.162,0.238,0.06,93.2,97.7,83.7,0.544,0.139,0.26166666666666666,0.1533333333333333,93.86666666666663,111.10000000000001,103.7333333333333,0.506,0.11033333333333332,0.23000000000000007,0.2113333333333333,93.46666666666668,109.46666666666665,107.30000000000001
CLE,1,12,93,110,0,20141122,TOR,0.451,0.161,0.297,0.247,95.6,97.3,115.1,0.45,0.075,0.18600000000000005,0.475,95.6,115.1,97.3,0.4606666666666667,0.15966666666666665,0.22466666666666665,0.19633333333333328,92.46666666666663,95.53333333333335,104.13333333333331,0.5606666666666664,0.10099999999999998,0.2963333333333334,0.18533333333333335,88.86666666666666,124.03333333333335,100.39999999999999
CLE,1,13,106,74,1,20141124,ORL,0.556,0.117,0.308,0.198,88.1,120.3,84.0,0.39399999999999996,0.16399999999999998,0.289,0.138,88.1,84.0,120.3,0.4463333333333334,0.16533333333333333,0.24666666666666662,0.19833333333333328,92.99999999999996,93.56666666666668,104.89999999999996,0.47000000000000003,0.11133333333333335,0.26133333333333336,0.22900000000000006,91.36666666666666,104.83333333333336,114.30000000000007
CLE,1,14,113,87,1,20141126,WAS,0.5539999999999999,0.09,0.269,0.419,88.4,127.9,98.5,0.5,0.182,0.219,0.225,88.4,98.5,127.9,0.4690000000000001,0.15333333333333332,0.26999999999999996,0.2283333333333333,92.29999999999997,100.43333333333335,98.93333333333328,0.4996666666666667,0.15100000000000002,0.3316666666666667,0.16433333333333333,95.03333333333335,106.5333333333333,99.43333333333332
CLE,1,15,109,97,1,20141129,IND,0.5710000000000001,0.08900000000000001,0.214,0.256,90.2,120.9,107.5,0.433,0.065,0.3,0.225,90.2,107.5,120.9,0.5203333333333334,0.12266666666666665,0.2913333333333333,0.288,90.69999999999999,115.16666666666669,99.19999999999995,0.513,0.10833333333333332,0.24199999999999997,0.18499999999999997,93.73333333333329,109.86666666666666,102.63333333333337
CLE,1,16,111,108,1,20141202,MIL,0.575,0.175,0.2,0.37,98.4,112.9,109.8,0.527,0.117,0.267,0.12,98.4,109.8,112.9,0.5603333333333335,0.09866666666666664,0.26366666666666666,0.291,88.89999999999998,123.03333333333336,96.66666666666663,0.5256666666666666,0.14633333333333332,0.28066666666666656,0.2666666666666668,91.8,112.5666666666667,105.96666666666665
CLE,0,17,90,87,1,20141204,NYK,0.493,0.173,0.16699999999999998,0.3,90.5,99.5,96.2,0.466,0.188,0.386,0.057,90.5,96.2,99.5,0.5666666666666668,0.11799999999999998,0.2276666666666666,0.34833333333333333,92.3333333333333,120.5666666666667,105.26666666666664,0.42300000000000026,0.12366666666666669,0.28699999999999987,0.18233333333333332,86.83333333333337,96.03333333333332,110.8
CLE,0,18,105,91,1,20141205,TOR,0.542,0.122,0.366,0.16699999999999998,88.7,118.4,102.6,0.45299999999999996,0.104,0.298,0.151,88.7,102.6,118.4,0.5463333333333334,0.14566666666666664,0.19366666666666663,0.30866666666666664,93.0333333333333,111.10000000000002,104.49999999999996,0.5596666666666664,0.09099999999999997,0.2996666666666668,0.2343333333333334,91.90000000000002,127.66666666666667,119.63333333333334
