Team,Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling5EFG,Rolling5TOV,Rolling5ORB,Rolling5FTR,Rolling5Pace,Rolling5OEff,Rolling5DEff,Opp R5EFG,Opp R5TOV,Opp R5ORB,Opp R5FTR,Opp R5Pace,Opp R5 OEff,Opp R5 DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff,Odds,Line,Cover
CLE,1,1,117,88,1,20161025,NYK,0.5479999999999999,0.12,0.275,0.149,99.9,117.1,88.1,0.42,0.158,0.245,0.172,99.9,88.1,117.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-470.0,-9.0,1.0
CLE,0,2,94,91,1,20161028,TOR,0.494,0.161,0.214,0.203,93.9,100.1,96.9,0.411,0.155,0.3670000000000001,0.189,93.9,96.9,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140.0,-2.5,1.0
CLE,1,3,105,99,1,20161029,ORL,0.472,0.08199999999999999,0.26,0.25,96.5,108.8,102.6,0.5,0.17300000000000001,0.325,0.179,96.5,102.6,108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1100.0,-12.0,-1.0
CLE,1,4,128,120,1,20161101,HOU,0.614,0.102,0.364,0.313,92.8,138.0,129.3,0.5720000000000001,0.065,0.244,0.189,92.8,129.3,138.0,0.5046666666666666,0.121,0.2496666666666667,0.20066666666666666,96.76666666666668,108.66666666666669,95.86666666666667,0.5396666666666666,0.15366666666666665,0.21533333333333327,0.2503333333333333,94.66666666666669,110.06666666666668,108.83333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-475.0,-9.0,-1.0
CLE,1,5,128,122,1,20161103,BOS,0.5710000000000001,0.07400000000000001,0.19399999999999998,0.381,99.4,128.8,122.8,0.536,0.07,0.222,0.198,99.4,122.8,128.8,0.5266666666666665,0.115,0.2793333333333333,0.25533333333333336,94.40000000000002,115.63333333333333,109.60000000000002,0.5596666666666666,0.118,0.13766666666666666,0.153,94.63333333333333,109.2,106.7333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-550.0,-9.5,-1.0
CLE,0,6,102,101,1,20161105,PHI,0.484,0.139,0.21600000000000005,0.154,102.3,99.7,98.7,0.54,0.156,0.11599999999999999,0.08,102.3,98.7,99.7,0.5523333333333332,0.08600000000000001,0.2726666666666667,0.31466666666666665,96.23333333333336,125.2,118.23333333333336,0.465,0.163,0.16033333333333336,0.1456666666666667,97.13333333333333,91.63333333333334,108.53333333333336,0.5398,0.10779999999999998,0.2614,0.2592,96.5,118.56,107.94,,,,,,,,,,,,,,,,,,,,,,-2000.0,-14.0,-1.0
CLE,1,7,106,110,0,20161108,ATL,0.429,0.052000000000000005,0.25,0.212,97.6,108.6,112.7,0.574,0.172,0.297,0.21,97.6,112.7,108.6,0.5563333333333333,0.10500000000000002,0.258,0.2826666666666666,98.16666666666669,122.16666666666669,116.93333333333337,0.513,0.15833333333333333,0.2536666666666667,0.2376666666666666,101.70000000000003,104.90000000000002,103.26666666666664,0.5269999999999999,0.1116,0.2496,0.2602,96.98,115.08,110.06000000000002,0.51,0.1404,0.2508,0.25120000000000003,99.82,106.29999999999998,96.58,,,,,,,,,,,,,,,-420.0,-8.5,-1.0
CLE,0,8,105,94,1,20161111,WAS,0.5,0.133,0.265,0.221,97.4,107.8,96.5,0.454,0.136,0.22699999999999998,0.172,97.4,96.5,107.8,0.4946666666666666,0.08833333333333336,0.22,0.249,99.76666666666668,112.36666666666667,111.40000000000002,0.4839999999999998,0.10233333333333333,0.36000000000000004,0.16833333333333333,90.9666666666667,113.4,107.7666666666667,0.5139999999999999,0.08979999999999999,0.2568,0.262,97.72,116.78,113.22000000000004,0.495,0.1336,0.2982,0.21539999999999995,94.14,108.16,106.27999999999996,0.5159999999999999,0.10428571428571427,0.2532857142857143,0.2374285714285714,97.48571428571428,114.44285714285715,107.30000000000004,0.4861428571428572,0.13585714285714284,0.2732857142857143,0.2101428571428572,94.92857142857143,105.67142857142859,107.68571428571428,-300.0,-6.5,1.0
CLE,1,9,100,93,1,20161113,CHO,0.5,0.084,0.255,0.087,92.5,108.1,100.6,0.4370000000000001,0.047,0.196,0.105,92.5,100.6,108.1,0.4709999999999999,0.10800000000000004,0.2436666666666667,0.19566666666666666,99.10000000000002,105.36666666666667,102.63333333333334,0.5239999999999999,0.09166666666666667,0.173,0.2570000000000001,97.4333333333333,115.2,106.7666666666667,0.5195999999999998,0.1,0.2578,0.2562,97.9,116.58,112.00000000000004,0.525,0.1118,0.1816,0.2393999999999999,98.36,110.96,101.8,0.5091428571428571,0.10614285714285714,0.25185714285714284,0.2477142857142857,97.12857142857142,113.11428571428571,108.5,0.5007142857142858,0.10142857142857142,0.18357142857142847,0.2471428571428571,97.65714285714284,108.31428571428572,101.8,-360.0,-8.0,-1.0
CLE,1,10,121,117,1,20161115,TOR,0.608,0.151,0.263,0.241,99.0,122.2,118.2,0.547,0.071,0.25,0.125,99.0,118.2,122.2,0.4763333333333333,0.08966666666666669,0.25666666666666665,0.17333333333333326,95.83333333333336,108.16666666666669,103.26666666666668,0.5356666666666667,0.08433333333333333,0.20866666666666667,0.2706666666666666,95.5666666666667,119.60000000000002,111.63333333333333,0.4967999999999999,0.0964,0.23600000000000004,0.211,97.84,110.6,106.26000000000003,0.4964000000000002,0.09020000000000004,0.2395999999999999,0.25759999999999994,92.92,113.82000000000002,108.25999999999996,0.51,0.09514285714285713,0.2577142857142857,0.2311428571428571,96.92857142857143,114.25714285714285,109.02857142857144,0.5134285714285716,0.0922857142857143,0.22214285714285711,0.24642857142857144,93.09999999999998,114.57142857142858,108.64285714285714,-235.0,-5.5,-1.0
