Team, Location,Game Number,Team Points,Opp Points,Result,Date,Opponent,EFG%,TOV%,ORB%,FTR,Pace,OEff,DEff,Opp TSP,Opp TOV,Opp ORB,Opp FTR,Opp Poss,Opp OEff,Opp DEff,Rolling3EFG,Rolling3TOV,Rolling3ORB,Rolling3FTR,Rolling3Pace,Rolling3OEff,Rolling3DEff,Opp R3EFG,Opp R3TOV,Opp R3ORB,Opp R3FTR,Opp R3Pace,Opp R3 OEff,Opp R3 DEff,Rolling5EFG,Rolling5TOV,Rolling5ORB,Rolling5FTR,Rolling5Pace,Rolling5OEff,Rolling5DEff,Opp R5EFG,Opp R5TOV,Opp R5ORB,Opp R5FTR,Opp R5Pace,Opp R5 OEff,Opp R5 DEff,Rolling7EFG,Rolling7TOV,Rolling7ORB,Rolling7FTR,Rolling7Pace,Rolling7OEff,Rolling7DEff,Opp R7EFG,Opp R7TOV,Opp R7ORB,Opp R7FTR,Opp R7Pace,Opp R7 OEff,Opp R7 DEff
CLE,1,1,102,99,1,20171017,BOS,0.488,0.153,0.196,0.253,99.3,102.7,99.7,0.455,0.092,0.18,0.21600000000000005,99.3,99.7,102.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,0,2,116,97,1,20171020,MIL,0.611,0.161,0.29,0.21,92.7,125.2,104.7,0.53,0.138,0.18600000000000005,0.122,92.7,104.7,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,1,3,93,114,0,20171021,ORL,0.424,0.14,0.224,0.233,97.9,95.0,116.4,0.539,0.108,0.267,0.18899999999999997,97.9,116.4,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,1,4,119,112,1,20171024,CHI,0.614,0.08900000000000001,0.205,0.205,92.1,129.3,121.7,0.574,0.08800000000000001,0.205,0.125,92.1,121.7,129.3,0.5076666666666666,0.15133333333333335,0.23666666666666664,0.23199999999999998,96.63333333333333,107.63333333333333,106.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,0,5,107,112,0,20171025,BRK,0.556,0.185,0.243,0.21,101.5,105.4,110.3,0.522,0.105,0.208,0.161,101.5,110.3,105.4,0.5496666666666666,0.13,0.2396666666666666,0.21600000000000003,94.23333333333332,116.5,114.26666666666668,0.5189999999999999,0.1376666666666667,0.29466666666666663,0.28300000000000003,105.96666666666664,114.13333333333333,110.03333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,0,6,101,123,0,20171028,NOP,0.5379999999999999,0.17,0.119,0.218,100.3,100.7,122.7,0.584,0.097,0.238,0.126,100.3,122.7,100.7,0.5313333333333333,0.13799999999999998,0.22399999999999998,0.21600000000000003,97.16666666666669,109.9,116.13333333333334,0.5483333333333335,0.15233333333333335,0.16966666666666666,0.2316666666666666,100.93333333333334,107.63333333333333,106.0,0.5386,0.1456,0.2316,0.2222,96.7,111.52,110.56,0.522,0.14980000000000002,0.22960000000000005,0.2284,100.68,106.46,109.54,,,,,,,,,,,,,,
CLE,1,7,95,114,0,20171029,NYK,0.444,0.139,0.149,0.284,99.0,96.0,115.2,0.545,0.125,0.244,0.191,99.0,115.2,96.0,0.5693333333333334,0.14800000000000002,0.18899999999999997,0.21100000000000002,97.96666666666664,111.8,118.23333333333336,0.4766666666666666,0.11133333333333337,0.3073333333333333,0.19966666666666666,93.06666666666668,108.7,110.06666666666666,0.5486,0.149,0.2162,0.2152,96.9,111.12,115.16,,,,,,,,,,,,,,,,,,,,,
CLE,1,8,107,124,0,20171101,IND,0.541,0.14400000000000002,0.18600000000000005,0.163,99.5,107.5,124.6,0.633,0.103,0.195,0.111,99.5,124.6,107.5,0.5126666666666667,0.16466666666666666,0.17033333333333334,0.2373333333333333,100.26666666666664,100.7,116.06666666666668,0.4746666666666665,0.15733333333333333,0.2453333333333333,0.252,97.73333333333336,100.33333333333331,99.0,0.5151999999999999,0.1446,0.188,0.23000000000000004,98.16,105.28,117.26,0.5267999999999999,0.14400000000000004,0.25880000000000003,0.2014,98.14,108.46,103.78,0.525,0.14814285714285713,0.2037142857142857,0.23042857142857143,97.54285714285713,107.75714285714287,112.95714285714287,0.5245714285714286,0.13471428571428573,0.24685714285714286,0.2191428571428571,100.20000000000002,109.2,107.37142857142858
CLE,0,9,130,122,1,20171103,WAS,0.634,0.129,0.222,0.317,100.2,129.8,121.8,0.601,0.141,0.257,0.25,100.2,121.8,129.8,0.5076666666666667,0.15099999999999994,0.15133333333333335,0.22166666666666665,99.59999999999998,101.39999999999998,120.83333333333336,0.5306666666666666,0.11866666666666666,0.2783333333333334,0.1930000000000001,98.23333333333332,116.5,109.90000000000002,0.5386,0.1454,0.1804,0.21600000000000005,98.48,107.78,118.9,0.5056,0.1202,0.2374,0.20940000000000006,99.06,109.52,105.1,0.5325714285714286,0.14685714285714285,0.20228571428571432,0.21757142857142858,97.57142857142857,108.44285714285715,116.51428571428572,0.5092857142857142,0.1177142857142857,0.246,0.24899999999999997,99.82857142857144,111.22857142857143,106.79999999999998
CLE,1,10,115,117,0,20171105,ATL,0.49,0.109,0.313,0.21899999999999997,102.2,112.5,114.5,0.541,0.14400000000000002,0.256,0.27899999999999997,102.2,114.5,112.5,0.5396666666666667,0.13733333333333328,0.18566666666666667,0.25466666666666665,99.56666666666663,111.09999999999998,120.53333333333336,0.5266666666666667,0.15533333333333332,0.146,0.22,102.7,103.66666666666669,115.43333333333332,0.5426,0.1534,0.1838,0.2384,100.1,107.88000000000002,118.92,0.5074,0.1364,0.16279999999999994,0.1862000000000001,98.52,102.46,111.7,0.5358571428571429,0.1422857142857143,0.1925714285714286,0.23285714285714287,98.64285714285714,109.10000000000001,118.95714285714284,0.49071428571428577,0.143,0.1817142857142857,0.20942857142857146,99.35714285714286,100.91428571428571,110.74285714285713
