Team,Spread,Date
LVA,+8½,20170513
NYL,-8½,20170513
SEA,+7½,20170513
LAS,-7½,20170513
ATL,+7,20170513
CON,-7,20170513
PHO,-5½,20170519
LVA,+5½,20170519
ATL,-1,20170519
CHI,+1,20170519
WAS,+4½,20170519
LAS,-4½,20170519
CHI,+7½,20170521
ATL,-7½,20170521
WAS,+3,20170521
SEA,-3,20170521
LAS,-7,20170527
ATL,+7,20170527
DAL,+6½,20170527
PHO,-6½,20170527
CON,+7½,20170531
WAS,-7½,20170531
LVA,+6,20170531
ATL,-6,20170531
ATL,+6,20170604
WAS,-6,20170604
PHO,PK,20170604
NYL,PK,20170604
ATL,+4,20170607
NYL,-4,20170607
PHO,-1,20170607
IND,+1,20170607
ATL,+4,20170610
CON,-4,20170610
CHI,-2½,20170610
LVA,+2½,20170610
LAS,+3,20170610
PHO,-3,20170610
ATL,+7½,20170613
SEA,-7½,20170613
DAL,+12,20170613
LAS,-12,20170613
ATL,+2½,20170615
IND,-2½,20170615
LVA,+15½,20170615
LAS,-15½,20170615
CHI,+6,20170623
ATL,-6,20170623
CON,+3,20170623
NYL,-3,20170623
WAS,+8,20170623
MIN,-8,20170623
DAL,-2,20170623
LVA,+2,20170623
PHO,+3½,20170623
SEA,-3½,20170623
LAS,-7½,20170630
ATL,+7½,20170630
CHI,+1,20170630
LVA,-1,20170630
MIN,-5½,20170630
PHO,+5½,20170630
WAS,+6,20170702
LAS,-6,20170702
NYL,-3,20170702
ATL,+3,20170702
ATL,+5½,20170705
DAL,-5½,20170705
CON,-8½,20170705
LVA,+8½,20170705
WAS,PK,20170705
PHO,PK,20170705
IND,+2½,20170707
ATL,-2½,20170707
PHO,-9,20170707
LVA,+9,20170707
DAL,PK,20170709
ATL,PK,20170709
NYL,+5,20170709
PHO,-5,20170709
LVA,+9,20170712
IND,-9,20170712
DAL,-2½,20170712
CHI,+2½,20170712
CON,PK,20170712
SEA,PK,20170712
ATL,+8,20170712
PHO,-8,20170712
ATL,+3,20170715
SEA,-3,20170715
LVA,+10,20170718
ATL,-10,20170718
CHI,+8,20170718
SEA,-8,20170718
CON,-3,20170719
NYL,+3,20170719
ATL,+3,20170719
WAS,-3,20170719
DAL,+15,20170719
MIN,-15,20170719
IND,+6½,20170719
PHO,-6½,20170719
WAS,-4½,20170725
LVA,+4½,20170725
PHO,+4½,20170725
ATL,-4½,20170725
CHI,+6½,20170725
CON,-6½,20170725
IND,+6½,20170725
DAL,-6½,20170725
NYL,+13½,20170725
MIN,-13½,20170725
SEA,+11,20170725
LAS,-11,20170725
NYL,-5,20170728
IND,+5,20170728
MIN,-8½,20170728
ATL,+8½,20170728
LAS,-11,20170728
LVA,+11,20170728
PHO,+5½,20170728
CHI,-5½,20170728
DAL,+5½,20170728
SEA,-5½,20170728
CON,PK,20170728
WAS,PK,20170728
IND,+12,20170730
CON,-12,20170730
WAS,-1,20170730
ATL,+1,20170730
DAL,+12,20170730
LAS,-12,20170730
LVA,+7½,20170730
PHO,-7½,20170730
NYL,-2,20170730
CHI,+2,20170730
SEA,+12,20170730
MIN,-12,20170730
ATL,+14½,20170803
MIN,-14½,20170803
ATL,+1,20170805
CHI,-1,20170805
SEA,-6,20170805
LVA,+6,20170805
MIN,-8,20170808
ATL,+8,20170808
SEA,+7,20170808
CON,-7,20170808
IND,+9,20170808
NYL,-9,20170808
NYL,PK,20170811
ATL,PK,20170811
LAS,+5½,20170811
