,Team,ML Odds,Date
0,DAL,+315,20190524
1,ATL,-380,20190524
2,IND,+115,20190524
3,NYL,-135,20190524
0,SEA,+245,20190531
1,ATL,-265,20190531
2,LVA,-118,20190531
3,PHO,-102,20190531
4,CON,+115,20190531
5,LAS,-125,20190531
0,NYL,+140,20190601
1,IND,-160,20190601
2,ATL,-375,20190601
3,WAS,+285,20190601
4,SEA,-103,20190601
5,CHI,-117,20190601
6,MIN,-135,20190601
7,DAL,+115,20190601
0,LVA,-150,20190606
1,ATL,+130,20190606
2,LAS,+200,20190606
3,CON,-240,20190606
4,PHO,-102,20190606
5,MIN,-118,20190606
0,DAL,+950,20190609
1,WAS,-1450,20190609
2,CON,-225,20190609
3,ATL,+185,20190609
4,LVA,-650,20190609
5,NYL,+475,20190609
6,PHO,-123,20190609
7,IND,+103,20190609
8,SEA,+105,20190609
9,CHI,-125,20190609
0,CHI,+145,20190615
1,IND,-165,20190615
2,ATL,-150,20190615
3,DAL,+130,20190615
4,NYL,+775,20190615
5,LAS,-1200,20190615
0,IND,+105,20190619
1,ATL,-125,20190619
2,CHI,+120,20190619
3,NYL,-140,20190619
0,ATL,+650,20190621
1,CON,-1000,20190621
2,IND,+170,20190621
3,CHI,-200,20190621
4,LAS,-130,20190621
5,SEA,+110,20190621
0,WAS,-400,20190623
1,ATL,+325,20190623
2,LAS,-110,20190623
3,PHO,-110,20190623
4,CON,-185,20190623
5,CHI,+160,20190623
6,IND,+185,20190623
7,SEA,-225,20190623
0,NYL,+135,20190630
1,ATL,-155,20190630
2,MIN,-190,20190630
3,DAL,+165,20190630
4,CHI,+290,20190630
5,LAS,-350,20190630
6,PHO,-145,20190630
7,SEA,+125,20190630
0,CHI,+360,20190702
1,LVA,-450,20190702
2,ATL,+225,20190702
3,MIN,-265,20190702
0,IND,+145,20190705
1,DAL,-165,20190705
2,ATL,+220,20190705
3,SEA,-260,20190705
4,NYL,+325,20190705
5,PHO,-400,20190705
6,WAS,-135,20190705
7,LVA,+115,20190705
0,LVA,-200,20190707
1,NYL,+170,20190707
2,WAS,-160,20190707
3,LAS,+140,20190707
4,ATL,+270,20190707
5,PHO,-330,20190707
6,DAL,+235,20190707
7,CHI,-275,20190707
0,CON,-220,20190710
1,ATL,+180,20190710
2,PHO,+600,20190710
3,WAS,-900,20190710
4,LVA,-190,20190710
5,IND,+165,20190710
6,MIN,-155,20190710
7,CHI,+135,20190710
0,LAS,-155,20190712
1,IND,+135,20190712
2,MIN,-117,20190712
3,ATL,-103,20190712
4,PHO,+140,20190712
5,CON,-160,20190712
6,NYL,+165,20190712
7,CHI,-190,20190712
8,DAL,+220,20190712
9,SEA,-260,20190712
0,LAS,-180,20190714
1,ATL,+158,20190714
2,CON,-230,20190714
3,IND,+190,20190714
4,CHI,+103,20190714
5,DAL,-123,20190714
6,PHO,-102,20190714
7,MIN,-118,20190714
8,NYL,+180,20190714
9,SEA,-220,20190714
0,PHO,-155,20190525
1,SEA,+135,20190525
2,WAS,+100,20190525
3,CON,-120,20190525
4,CHI,+155,20190525
5,MIN,-175,20190525
0,CHI,+500,20190605
1,WAS,-700,20190605
0,DAL,+165,20190607
1,IND,-190,20190607
2,WAS,-440,20190607
3,NYL,+350,20190607
0,SEA,+130,20190611
1,IND,-150,20190611
2,WAS,+175,20190611
3,CON,-210,20190611
4,PHO,-190,20190611
5,CHI,+165,20190611
0,SEA,+360,20190614
1,WAS,-450,20190614
2,CON,-245,20190614
3,MIN,+205,20190614
4,LAS,+130,20190614
5,PHO,-140,20190614
6,NYL,+515,20190614
7,LVA,-620,20190614
0,WAS,+135,20190618
1,LAS,-155,20190618
0,PHO,-240,20190620
1,DAL,+200,20190620
2,WAS,+170,20190620
3,LVA,-200,20190620
0,WAS,-230,20190626
1,CHI,+190,20190626
2,CON,-400,20190626
3,DAL,+325,20190626
0,CON,+265,20190629
1,WAS,-295,20190629
2,IND,+725,20190629
3,LVA,-925,20190629
0,LVA,+195,20190713
1,WAS,-235,20190713
0,IND,+425,20190528
1,CON,-550,20190528
0,CON,+215,20190602
1,LVA,-235,20190602
0,SEA,+380,20190616
1,CON,-475,20190616
2,LVA,-265,20190616
3,MIN,+225,20190616
0,MIN,+320,20190706
1,CON,-390,20190706
0,DAL,+145,20190628
1,NYL,-165,20190628
2,CHI,+155,20190628
3,SEA,-175,20190628
4,IND,+210,20190628
5,PHO,-250,20190628
0,LAS,-310,20190604
1,NYL,+255,20190604
2,MIN,-110,20190604
3,SEA,-110,20190604
0,MIN,-160,20190612
1,NYL,+140,20190612
0,NYL,+250,20190622
1,MIN,-300,20190622
2,DAL,+850,20190622
3,LVA,-1300,20190622
0,NYL,+275,20190703
1,SEA,-305,20190703
0,IND,+100,20190613
1,DAL,-120,20190613
0,MIN,-118,20190625
1,IND,-102,20190625
2,SEA,+275,20190625
3,LVA,-305,20190625
0,SEA,+112,20190529
1,MIN,-132,20190529
0,LAS,+135,20190526
1,LVA,-155,20190526
0,LAS,+105,20190608
1,MIN,-125,20190608
0,LVA,-125,20190627
1,LAS,+105,20190627
0,LAS,-280,20190709
1,DAL,+240,20190709
