Team,Spread,Date
LAS,-5.5,20160520.0
WAS,5.5,20160520.0
ATL,5.5,20160520.0
IND,-5.5,20160520.0
SEA,11.5,20160520.0
PHO,-11.5,20160520.0
CHI,-4.0,20160522.0
ATL,4.0,20160522.0
MIN,-9.0,20160522.0
SEA,9.0,20160522.0
ATL,8.0,20160524.0
NYL,-8.0,20160524.0
LAS,-1.5,20160524.0
CHI,1.5,20160524.0
CHI,-8.0,20160527.0
SAS,8.0,20160527.0
IND,11.0,20160527.0
MIN,-11.0,20160527.0
ATL,3.5,20160527.0
DAL,-3.5,20160527.0
IND,3.0,20160529.0
ATL,-3.0,20160529.0
CHI,2.5,20160529.0
DAL,-2.5,20160529.0
WAS,8.5,20160529.0
PHO,-8.5,20160529.0
ATL,-5.5,20160603.0
CON,5.5,20160603.0
IND,4.0,20160603.0
NYL,-4.0,20160603.0
WAS,9.5,20160603.0
CHI,-9.5,20160603.0
PHO,-2.5,20160603.0
SEA,2.5,20160603.0
IND,-2.5,20160605.0
CON,2.5,20160605.0
WAS,11.0,20160605.0
ATL,-11.0,20160605.0
NYL,-3.5,20160605.0
SEA,3.5,20160605.0
SEA,-2.0,20160610.0
CON,2.0,20160610.0
CHI,1.0,20160610.0
IND,-1.0,20160610.0
MIN,-4.5,20160610.0
ATL,4.5,20160610.0
CON,10.5,20160612.0
ATL,-10.5,20160612.0
SEA,6.0,20160612.0
IND,-6.0,20160612.0
CHI,2.5,20160612.0
PHO,-2.5,20160612.0
CHI,1.5,20160617.0
ATL,-1.5,20160617.0
IND,-4.5,20160617.0
SAS,4.5,20160617.0
PHO,7.5,20160617.0
LAS,-7.5,20160617.0
ATL,2.5,20160618.0
WAS,-2.5,20160618.0
DAL,7.0,20160618.0
PHO,-7.0,20160618.0
NYL,-1.5,20160622.0
ATL,1.5,20160622.0
IND,3.5,20160622.0
WAS,-3.5,20160622.0
ATL,-4.0,20160625.0
SAS,4.0,20160625.0
IND,4.0,20160625.0
DAL,-4.0,20160625.0
ATL,2.5,20160628.0
SEA,-2.5,20160628.0
DAL,12.0,20160628.0
LAS,-12.0,20160628.0
ATL,12.5,20160630.0
LAS,-12.5,20160630.0
DAL,1.5,20160630.0
SEA,-1.5,20160630.0
NYL,7.5,20160703.0
LAS,-7.5,20160703.0
PHO,-1.5,20160703.0
ATL,1.5,20160703.0
SEA,3.5,20160705.0
ATL,-3.5,20160705.0
CHI,10.0,20160705.0
MIN,-10.0,20160705.0
PHO,0.0,20160705.0
DAL,0.0,20160705.0
DAL,2.5,20160708.0
ATL,-2.5,20160708.0
NYL,1.5,20160708.0
CHI,-1.5,20160708.0
SEA,-3.0,20160708.0
SAS,3.0,20160708.0
IND,7.0,20160708.0
PHO,-7.0,20160708.0
ATL,-3.0,20160710.0
CON,3.0,20160710.0
SAS,13.5,20160710.0
NYL,-13.5,20160710.0
PHO,3.0,20160710.0
CHI,-3.0,20160710.0
IND,1.5,20160710.0
SEA,-1.5,20160710.0
WAS,9.5,20160710.0
LAS,-9.5,20160710.0
ATL,6.5,20160713.0
NYL,-6.5,20160713.0
CON,8.5,20160713.0
IND,-8.5,20160713.0
LAS,-4.0,20160713.0
CHI,4.0,20160713.0
WAS,4.5,20160713.0
PHO,-4.5,20160713.0
LAS,-11.0,20160715.0
CON,11.0,20160715.0
ATL,3.5,20160715.0
IND,-3.5,20160715.0
NYL,8.5,20160715.0
MIN,-8.5,20160715.0
DAL,4.5,20160715.0
CHI,-4.5,20160715.0
WAS,-2.5,20160715.0
SEA,2.5,20160715.0
LAS,-6.5,20160717.0
ATL,6.5,20160717.0
CON,8.5,20160717.0
NYL,-8.5,20160717.0
MIN,-8.5,20160717.0
DAL,8.5,20160717.0
CHI,-2.0,20160717.0
SEA,2.0,20160717.0
NYL,-2.5,20160720.0
WAS,2.5,20160720.0
CON,4.5,20160720.0
DAL,-4.5,20160720.0
ATL,12.0,20160720.0
MIN,-12.0,20160720.0
SAS,7.0,20160720.0
SEA,-7.0,20160720.0
LAS,-8.0,20160722.0
WAS,8.0,20160722.0
DAL,4.0,20160722.0
ATL,-4.0,20160722.0
SEA,14.5,20160722.0
MIN,-14.5,20160722.0
CON,6.5,20160722.0
CHI,-6.5,20160722.0
MIN,-9.0,20160826.0
CON,9.0,20160826.0
NYL,-8.0,20160826.0
SAS,8.0,20160826.0
ATL,5.0,20160826.0
CHI,-5.0,20160826.0
LAS,-8.0,20160826.0
SEA,8.0,20160826.0
DAL,6.0,20160826.0
PHO,-6.0,20160826.0
CON,2.0,20160828.0
ATL,-2.0,20160828.0
CHI,1.0,20160828.0
DAL,-1.0,20160828.0
SAS,9.0,20160828.0
WAS,-9.0,20160828.0
SEA,11.5,20160828.0
MIN,-11.5,20160828.0
LAS,-4.5,20160828.0
PHO,4.5,20160828.0
WAS,3.0,20160904.0
DAL,-3.0,20160904.0
SAS,12.0,20160904.0
CHI,-12.0,20160904.0
SEA,3.5,20160904.0
ATL,-3.5,20160904.0
CON,11.0,20160904.0
MIN,-11.0,20160904.0
IND,9.0,20160904.0
LAS,-9.0,20160904.0
PHO,-2.5,20160906.0
ATL,2.5,20160906.0
IND,-6.5,20160906.0
SAS,6.5,20160906.0
MIN,2.5,20160906.0
LAS,-2.5,20160906.0
