Team,Spread,Date
DAL,+8½,20190524
ATL,-8½,20190524
IND,+2½,20190524
NYL,-2½,20190524
SEA,+6,20190531
ATL,-6,20190531
LVA,-1½,20190531
PHO,+1½,20190531
CON,+2,20190531
LAS,-2,20190531
NYL,+4,20190601
IND,-4,20190601
ATL,+7½,20190601
WAS,-7½,20190601
SEA,+1,20190601
CHI,-1,20190601
MIN,-1,20190601
DAL,+1,20190601
LVA,-3,20190606
ATL,+3,20190606
LAS,+5,20190606
CON,-5,20190606
PHO,+1½,20190606
MIN,-1½,20190606
DAL,+14½,20190609
WAS,-14½,20190609
CON,-4,20190609
ATL,+4,20190609
LVA,-9,20190609
NYL,+9,20190609
PHO,-2½,20190609
IND,+2½,20190609
SEA,+1½,20190609
CHI,-1½,20190609
CHI,+5,20190615
IND,-5,20190615
ATL,-3,20190615
DAL,+3,20190615
NYL,+14,20190615
LAS,-14,20190615
IND,+1½,20190619
ATL,-1½,20190619
CHI,+2½,20190619
NYL,-2½,20190619
ATL,+12½,20190621
CON,-12½,20190621
IND,+4½,20190621
CHI,-4½,20190621
LAS,-2,20190621
SEA,+2,20190621
WAS,-8,20190623
ATL,+8,20190623
LAS,PK,20190623
PHO,PK,20190623
CON,-4½,20190623
CHI,+4½,20190623
IND,+6,20190623
SEA,-6,20190623
NYL,+2½,20190630
ATL,-2½,20190630
MIN,-4½,20190630
DAL,+4½,20190630
CHI,+7½,20190630
LAS,-7½,20190630
PHO,-2½,20190630
SEA,+2½,20190630
CHI,+10,20190702
LVA,-10,20190702
ATL,+8,20190702
MIN,-8,20190702
IND,+3½,20190705
DAL,-3½,20190705
ATL,+6½,20190705
SEA,-6½,20190705
NYL,+8½,20190705
PHO,-8½,20190705
WAS,-2,20190705
LVA,+2,20190705
LVA,-5,20190707
NYL,+5,20190707
WAS,-3,20190707
LAS,+3,20190707
ATL,+7½,20190707
PHO,-7½,20190707
DAL,+6½,20190707
CHI,-6½,20190707
CON,-5½,20190710
ATL,+5½,20190710
PHO,+10,20190710
WAS,-10,20190710
LVA,-6½,20190710
IND,+6½,20190710
MIN,+1,20190710
CHI,-1,20190710
LAS,-3,20190712
IND,+3,20190712
MIN,-1,20190712
ATL,+1,20190712
PHO,+3½,20190712
CON,-3½,20190712
NYL,+4½,20190712
CHI,-4½,20190712
DAL,+6,20190712
SEA,-6,20190712
LAS,-4,20190714
ATL,+4,20190714
CON,-5½,20190714
IND,+5½,20190714
CHI,+1½,20190714
DAL,-1½,20190714
PHO,+1,20190714
MIN,-1,20190714
NYL,+5,20190714
SEA,-5,20190714
ATL,,20190717
CHI,,20190717
DAL,,20190717
PHO,,20190717
SEA,,20190717
MIN,,20190717
PHO,-2,20190525
SEA,+2,20190525
WAS,+1,20190525
CON,-1,20190525
CHI,+4,20190525
MIN,-4,20190525
CHI,+11,20190605
WAS,-11,20190605
DAL,+4½,20190607
IND,-4½,20190607
WAS,-9,20190607
NYL,+9,20190607
SEA,+2,20190611
IND,-2,20190611
WAS,+4,20190611
CON,-4,20190611
PHO,-3½,20190611
CHI,+3½,20190611
SEA,+9,20190614
WAS,-9,20190614
CON,-3½,20190614
MIN,+3½,20190614
LAS,PK,20190614
PHO,PK,20190614
NYL,+13½,20190614
LVA,-13½,20190614
WAS,+3,20190618
LAS,-3,20190618
PHO,-6,20190620
DAL,+6,20190620
WAS,+5½,20190620
LVA,-5½,20190620
WAS,-5½,20190626
CHI,+5½,20190626
CON,-8½,20190626
DAL,+8½,20190626
CON,+6½,20190629
WAS,-6½,20190629
IND,+11,20190629
LVA,-11,20190629
LVA,+5½,20190713
WAS,-5½,20190713
IND,+12,20190528
CON,-12,20190528
CON,+5½,20190602
LVA,-5½,20190602
SEA,+9½,20190616
CON,-9½,20190616
LVA,-5½,20190616
MIN,+5½,20190616
MIN,+8,20190706
CON,-8,20190706
DAL,+3½,20190628
NYL,-3½,20190628
CHI,+4,20190628
SEA,-4,20190628
IND,+6,20190628
PHO,-6,20190628
LAS,-6½,20190604
NYL,+6½,20190604
MIN,PK,20190604
SEA,PK,20190604
MIN,-3½,20190612
NYL,+3½,20190612
NYL,+7,20190622
MIN,-7,20190622
DAL,+14,20190622
LVA,-14,20190622
NYL,+7½,20190703
SEA,-7½,20190703
IND,+1,20190613
DAL,-1,20190613
MIN,-2½,20190625
IND,+2½,20190625
SEA,+8,20190625
LVA,-8,20190625
SEA,+2,20190529
MIN,-2,20190529
LAS,+3½,20190526
LVA,-3½,20190526
LAS,+1½,20190608
MIN,-1½,20190608
LVA,-1½,20190627
LAS,+1½,20190627
LAS,-6½,20190709
DAL,+6½,20190709
