Team,ML Odds,Date
SAS,+320,20170513
NYL,-390,20170513
SEA,+255,20170513
LAS,-310,20170513
ATL,+310,20170513
CON,-370,20170513
PHO,-275,20170519
SAS,+235,20170519
ATL,-117,20170519
CHI,-103,20170519
WAS,+185,20170519
LAS,-225,20170519
CHI,+250,20170521
ATL,-300,20170521
WAS,+130,20170521
SEA,-150,20170521
LAS,-320,20170527
ATL,+260,20170527
DAL,+195,20170527
PHO,-235,20170527
CON,+290,20170531
WAS,-350,20170531
SAS,+200,20170531
ATL,-240,20170531
ATL,+190,20170604
WAS,-230,20170604
PHO,-118,20170604
NYL,-102,20170604
ATL,+170,20170607
NYL,-200,20170607
PHO,-135,20170607
IND,+115,20170607
ATL,+160,20170610
CON,-185,20170610
CHI,-130,20170610
SAS,+110,20170610
LAS,+115,20170610
PHO,-125,20170610
ATL,+280,20170613
SEA,-340,20170613
DAL,+600,20170613
LAS,-900,20170613
ATL,+125,20170615
IND,-145,20170615
SAS,+885,20170615
LAS,-1350,20170615
CHI,+210,20170623
ATL,-250,20170623
CON,+145,20170623
NYL,-165,20170623
WAS,+325,20170623
MIN,-400,20170623
DAL,-155,20170623
SAS,+135,20170623
PHO,+145,20170623
SEA,-165,20170623
LAS,-270,20170630
ATL,+230,20170630
CHI,-133,20170630
SAS,+113,20170630
MIN,-325,20170630
PHO,+265,20170630
WAS,+230,20170702
LAS,-250,20170702
NYL,-150,20170702
ATL,+140,20170702
ATL,+175,20170705
DAL,-210,20170705
CON,-380,20170705
SAS,+315,20170705
WAS,-103,20170705
PHO,-117,20170705
IND,+125,20170707
ATL,-145,20170707
PHO,-425,20170707
SAS,+340,20170707
DAL,+103,20170709
ATL,-113,20170709
NYL,+190,20170709
PHO,-210,20170709
SAS,+425,20170712
IND,-550,20170712
DAL,-160,20170712
CHI,+140,20170712
CON,-145,20170712
SEA,+125,20170712
ATL,+305,20170712
PHO,-365,20170712
ATL,+135,20170715
SEA,-155,20170715
SAS,+425,20170718
ATL,-550,20170718
CHI,+280,20170718
SEA,-340,20170718
CON,-165,20170719
NYL,+145,20170719
ATL,+125,20170719
WAS,-145,20170719
DAL,+775,20170719
MIN,-1200,20170719
IND,+250,20170719
PHO,-300,20170719
WAS,-200,20170725
SAS,+170,20170725
PHO,+175,20170725
ATL,-210,20170725
CHI,+235,20170725
CON,-275,20170725
IND,+235,20170725
DAL,-275,20170725
NYL,+1000,20170725
MIN,-1500,20170725
SEA,+550,20170725
LAS,-800,20170725
NYL,-235,20170728
IND,+215,20170728
MIN,-375,20170728
ATL,+335,20170728
LAS,-750,20170728
SAS,+525,20170728
PHO,+185,20170728
CHI,-200,20170728
DAL,+215,20170728
SEA,-235,20170728
CON,+103,20170728
WAS,-113,20170728
IND,+550,20170730
CON,-800,20170730
WAS,-105,20170730
ATL,-105,20170730
DAL,+550,20170730
LAS,-800,20170730
SAS,+335,20170730
PHO,-420,20170730
NYL,-125,20170730
CHI,+105,20170730
SEA,+525,20170730
MIN,-750,20170730
ATL,+700,20170803
MIN,-1100,20170803
ATL,+103,20170805
CHI,-123,20170805
SEA,-260,20170805
SAS,+220,20170805
MIN,-335,20170808
ATL,+275,20170808
SEA,+255,20170808
CON,-310,20170808
IND,+360,20170808
NYL,-450,20170808
NYL,+115,20170811
ATL,-125,20170811
LAS,+210,20170811
MIN,-230,20170811
DAL,+450,20170812
CON,-525,20170812
IND,+295,20170812
WAS,-325,20170812
ATL,-160,20170812
SAS,+150,20170812
SEA,+165,20170812
PHO,-190,20170812
CON,-160,20170815
ATL,+150,20170815
ATL,+175,20170819
DAL,-210,20170819
SEA,-135,20170823
ATL,+115,20170823
NYL,-500,20170823
IND,+400,20170823
DAL,+650,20170823
CON,-1000,20170823
IND,+425,20170826
ATL,-550,20170826
DAL,+165,20170826
WAS,-190,20170826
SEA,-120,20170901
WAS,+100,20170901
SAS,+625,20170901
NYL,-950,20170901
CHI,+650,20170901
MIN,-1000,20170901
CON,+100,20170901
PHO,-120,20170901
ATL,+650,20170901
LAS,-1000,20170901
NYL,-145,20170903
DAL,+125,20170903
CON,+340,20170903
LAS,-425,20170903
ATL,+360,20170903
PHO,-450,20170903
WAS,+500,20170903
MIN,-700,20170903
SEA,+115,20170903
CHI,-135,20170903
SAS,+1000,20170514
WAS,-1500,20170514
DAL,+350,20170514
PHO,-440,20170514
IND,+145,20170514
SEA,-165,20170514
CHI,+900,20170514
MIN,-1100,20170514
WAS,-145,20170524
CHI,+125,20170524
LAS,-190,20170524
IND,+165,20170524
MIN,-335,20170526
CON,+275,20170526
CHI,+360,20170526
WAS,-450,20170526
NYL,+175,20170526
SEA,-210,20170526
WAS,-130,20170606
DAL,+110,20170606
SEA,-310,20170606
SAS,+255,20170606
CHI,+850,20170606
LAS,-1300,20170606
MIN,-260,20170609
WAS,+240,20170609
SEA,-225,20170609
IND,+205,20170609
LAS,-325,20170609
DAL,+295,20170609
IND,+200,20170611
WAS,-220,20170611
SEA,+135,20170611
NYL,-145,20170611
MIN,-475,20170611
DAL,+380,20170611
DAL,+270,20170618
WAS,-300,20170618
PHO,+285,20170618
LAS,-315,20170618
IND,-130,20170618
CHI,+110,20170618
SAS,+435,20170618
SEA,-500,20170618
CON,-165,20170625
DAL,+145,20170625
WAS,-255,20170625
CHI,+235,20170625
SAS,+1500,20170625
MIN,-3000,20170625
SEA,+215,20170627
WAS,-255,20170627
LAS,-135,20170627
CON,+115,20170627
NYL,+200,20170629
WAS,-240,20170629
SEA,+175,20170629
CON,-210,20170629
WAS,+145,20170708
CON,-165,20170708
MIN,-1400,20170708
CHI,+925,20170708
LAS,-265,20170708
SEA,+225,20170708
WAS,-290,20170714
IND,+245,20170714
CHI,+300,20170714
